n,rtk,p,m,n,hz,t,v,
1,0.08,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.08,124,250,124,31.5648371827,83.088772881,3.04776547823,
3,0.05,212,250,212,30.2774437121,0.0,0.0,
4,0.17,214,250,214,30.5549169162,0.0,0.0,
5,0.08,219,250,219,30.4681320916,0.0,0.0,
6,0.08,213,250,213,30.6363782449,0.0,0.0,
7,0.07,223,250,223,29.2141449178,0.0,0.0,
8,0.11,222,250,222,29.9159361783,0.0,0.0,
9,0.2,216,250,216,30.6055281515,0.0,0.0,
10,0.14,220,250,220,30.6805257884,0.0,0.0,
11,0.14,218,250,218,30.6955694442,0.0,0.0,
12,0.09,212,250,212,30.847955754,0.0,0.0,
13,0.26,209,250,209,30.806945383,0.0,0.0,
14,0.06,214,250,214,30.7673980179,0.0,0.0,
15,0.07,203,250,203,31.0009460738,0.0,0.0,
16,0.07,205,250,205,30.9186766527,0.0,0.0,
17,0.12,214,250,214,30.8509054533,0.0,0.0,
18,0.09,219,250,219,30.6643759002,0.0,0.0,
19,0.13,220,250,220,30.8261908087,0.0,0.0,
20,0.13,216,250,216,30.6796281261,0.0,0.0,
21,0.13,208,250,208,30.8338957134,0.0,0.0,
22,0.03,197,250,197,31.0009460738,0.0,0.0,
23,0.12,209,250,209,30.7834307019,0.0,0.0,
24,0.1,207,250,207,30.6560832639,0.0,0.0,
25,0.18,183,250,183,31.0539666087,0.0,0.0,
26,0.18,200,250,200,30.9759905469,0.0,0.0,
27,0.18,213,250,213,30.8690698736,0.0,0.0,
28,0.44,203,250,203,30.9050075157,0.0,0.0,
29,0.16,217,250,217,30.6881580391,0.0,0.0,
30,0.06,208,250,208,30.9846860756,0.0,0.0,
31,0.06,215,250,215,30.8289097471,0.0,0.0,
32,0.09,208,250,208,30.8956738879,0.0,0.0,
33,0.12,211,250,211,30.8470482676,0.0,0.0,
34,0.24,213,250,213,30.8422848403,0.0,0.0,
35,0.25,209,250,209,30.8804335022,0.0,0.0,
36,0.25,209,250,209,30.8309492657,0.0,0.0,
37,0.06,206,250,206,30.6278770884,0.0,0.0,
38,0.03,209,250,209,30.8053615365,0.0,0.0,
39,0.17,218,250,218,30.4823035219,0.0,0.0,
40,0.09,210,250,210,30.8270970682,0.0,0.0,
41,0.09,206,250,206,30.805135286,0.0,0.0,
42,0.1,175,250,175,31.2625145345,90.0,0.363917604446,
43,0.27,167,250,167,31.3834504329,90.0,0.524038993835,
44,0.26,150,250,150,31.4663265689,90.0,0.505435501099,
45,0.51,141,250,141,31.6866916475,90.0,0.606526885986,
46,0.51,133,250,133,31.7118468506,90.0,0.631801071167,
47,0.76,137,250,137,31.7714199144,90.0,0.628847328186,
48,0.68,131,250,131,31.6345918875,90.0,0.545874732971,
49,0.38,105,250,105,32.2666071745,90.0,0.631799732208,
50,0.44,91,250,91,32.5278529606,90.0,0.78975,
51,0.44,92,250,92,32.4275111331,90.0,0.884522169115,
52,0.66,101,250,101,32.1306582707,90.0,0.908713823058,
53,1.08,86,250,86,32.5912940774,90.0,0.943272331238,
54,0.91,76,250,76,32.696986233,96.3400732818,1.07220083614,
55,1.06,72,250,72,32.7923380634,98.7461959529,1.17728595783,
56,1.06,82,250,82,32.7718404501,96.2278399098,1.2699044365,
57,1.28,79,250,79,32.7997747818,94.1352917405,1.52388260588,
58,1.4,79,250,79,32.5381989698,97.1250163489,1.48916574503,
59,1.39,81,250,81,32.7214741539,100.619655276,1.3636606357,
60,1.25,71,250,71,32.768768018,97.1250163489,1.51313295813,
61,1.25,63,250,63,33.2957903009,94.0856039389,1.7448474887,
62,1.5,68,250,68,33.2601462262,96.0090059575,1.62343714421,
63,1.74,79,250,79,33.0143177614,96.0090059575,1.64770274537,
64,1.92,64,250,64,33.4482005152,90.0,1.9778038696,
65,1.61,103,250,103,33.2556631225,90.0,2.10782733223,
66,1.61,96,250,96,33.3524495654,93.5763390997,1.93846085852,
67,1.86,97,250,97,33.3434347449,94.9697407281,2.02570499486,
68,2.32,81,250,81,33.8225773936,93.1798352571,2.28824004423,
69,2.05,81,250,81,33.856977955,92.4895783526,2.45856646493,
70,2.36,72,250,72,32.1584960054,94.7817742424,2.40855931415,
