n,rtk,p,m,n,hz,t,v,
1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.0,142,250,142,25.7499355377,78.690067526,1.81776071985,
3,0.01,205,250,205,24.5116091517,0.0,0.0,
4,0.01,201,250,201,24.8342372641,0.0,0.0,
5,0.01,202,250,202,24.8101457505,0.0,0.0,
6,0.02,196,250,196,25.0162766979,0.0,0.0,
7,0.02,195,250,195,24.6105605332,0.0,0.0,
8,0.01,198,250,198,24.9190753162,0.0,0.0,
9,0.01,203,250,203,25.1647167525,0.0,0.0,
10,0.01,201,250,201,25.637711722,0.0,0.0,
11,0.01,201,250,201,25.2959972016,0.0,0.0,
12,0.01,199,250,199,25.1363641812,0.0,0.0,
13,0.01,176,250,176,25.2506155671,0.0,0.0,
14,0.01,158,250,158,25.393092175,90.0,0.126360214233,
15,0.01,171,250,171,25.292793825,90.0,0.126360214233,
16,0.02,164,250,164,25.4187918162,90.0,0.151631721497,
17,0.02,168,250,168,25.8491196283,90.0,0.151631721497,
18,0.09,172,250,172,25.7790561886,90.0,0.1755,
19,0.09,178,250,178,25.4291170782,90.0,0.151633060455,
20,0.09,170,250,170,25.4052430101,90.0,0.151631721497,
21,0.13,166,250,166,25.2862370609,90.0,0.126360214233,
22,0.13,158,250,158,25.4414567423,90.0,0.126360214233,
23,0.13,163,250,163,25.4568981737,90.0,0.105301071167,
24,0.13,155,250,155,25.887889,90.0,0.105299899578,
25,0.13,158,250,158,26.1177642722,0.0,0.0,
26,0.16,174,250,174,25.743297653,0.0,0.0,
27,0.16,175,250,175,25.5193175872,0.0,0.0,
28,0.14,197,250,197,25.2671959903,0.0,0.0,
29,0.14,194,250,194,25.3286874604,0.0,0.0,
30,0.14,181,250,181,25.7401379581,0.0,0.0,
31,0.1,189,250,189,25.5095395357,0.0,0.0,
32,0.1,204,250,204,25.4473222791,0.0,0.0,
33,0.07,201,250,201,24.7164298721,0.0,0.0,
34,0.07,202,250,202,25.3768067715,0.0,0.0,
35,0.07,196,250,196,25.4855142913,0.0,0.0,
36,0.04,188,250,188,25.6319147376,0.0,0.0,
37,0.04,203,250,203,25.7673367081,0.0,0.0,
38,0.05,201,250,201,25.8023684291,0.0,0.0,
39,0.05,193,250,193,25.4471678882,0.0,0.0,
40,0.05,184,250,184,25.8604352919,0.0,0.0,
41,0.04,179,250,179,25.9625631376,0.0,0.0,
42,0.04,180,250,180,25.4804050811,0.0,0.0,
43,0.05,180,250,180,25.9693145935,0.0,0.0,
44,0.05,180,250,180,25.9189242634,0.0,0.0,
45,0.05,178,250,178,25.8818186306,0.0,0.0,
46,0.04,186,250,186,25.9408857855,0.0,0.0,
47,0.04,194,250,194,25.513418818,0.0,0.0,
48,0.02,191,250,191,25.9558151912,0.0,0.0,
49,0.02,203,250,203,25.841793638,0.0,0.0,
50,0.02,188,250,188,25.8344717991,0.0,0.0,
51,0.02,186,250,186,25.1496276398,0.0,0.0,
52,0.02,191,250,191,25.5056614329,0.0,0.0,
53,0.02,180,250,180,25.8277902645,0.0,0.0,
54,0.02,189,250,189,25.4524182293,0.0,0.0,
55,0.02,197,250,197,25.8257228708,0.0,0.0,
56,0.03,187,250,187,25.837018055,0.0,0.0,
57,0.03,193,250,193,25.8017335244,0.0,0.0,
58,0.03,189,250,189,25.544806753,0.0,0.0,
59,0.03,196,250,196,25.824450793,0.0,0.0,
60,0.03,181,250,181,25.8071312106,0.0,0.0,
61,0.02,189,250,189,26.0124781385,0.0,0.0,
62,0.02,179,250,179,26.0300745347,0.0,0.0,
63,0.04,188,250,188,25.8524654832,0.0,0.0,
64,0.04,190,250,190,25.9619203248,0.0,0.0,
65,0.04,190,250,190,25.9254927897,0.0,0.0,
66,0.02,196,250,196,25.7022820305,0.0,0.0,
67,0.02,201,250,201,25.8478452446,0.0,0.0,
68,0.02,189,250,189,25.869207759,0.0,0.0,
69,0.02,186,250,186,25.7931653681,0.0,0.0,
70,0.02,172,250,172,25.9908784454,-90.0,0.1755,
71,0.02,152,250,152,26.0436513111,-90.0,0.314425003052,
72,0.02,149,250,149,26.0103810735,-90.0,0.303263442993,
73,0.09,153,250,153,25.5283262325,-90.0,0.315898861885,
74,0.09,151,250,151,25.3158457016,-90.0,0.421198928833,
75,0.09,149,250,149,25.984276749,-90.0,0.43875,
76,0.19,158,250,158,25.7825424146,-90.0,0.421198928833,
77,0.19,144,250,144,26.14446356,-90.0,0.464372983933,
78,0.3,143,250,143,26.0891719745,-90.0,0.631801071167,
