n,rtk,p,m,n,hz,t,v,
1,0.2,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.23,522,750,522,18.5312343983,83.2901617533,2.99509145311,
3,0.2,657,750,657,17.6212010453,0.0,0.0,
4,0.2,638,750,638,17.7667530795,0.0,0.0,
5,0.09,661,750,661,17.6681873518,0.0,0.0,
6,0.17,655,750,655,17.6719094307,0.0,0.0,
7,0.12,643,750,643,17.8298170812,0.0,0.0,
8,0.12,659,750,659,17.8043110987,0.0,0.0,
9,0.04,655,750,655,17.6622352857,0.0,0.0,
10,0.08,654,750,654,17.8500770298,0.0,0.0,
11,0.09,647,750,647,17.8056715911,0.0,0.0,
12,0.23,652,750,652,17.6300891949,0.0,0.0,
13,0.23,664,750,664,17.7421775527,0.0,0.0,
14,0.09,656,750,656,17.8155035467,0.0,0.0,
15,0.17,656,750,656,17.7787272642,0.0,0.0,
16,0.14,658,750,658,17.6628303118,0.0,0.0,
17,0.1,658,750,658,17.7632166286,0.0,0.0,
18,0.1,660,750,660,17.7993244046,0.0,0.0,
19,0.19,635,750,635,17.7456305504,0.0,0.0,
20,0.16,663,750,663,17.6656572336,0.0,0.0,
21,0.04,653,750,653,17.6550237825,0.0,0.0,
22,0.04,634,750,634,17.6559899308,0.0,0.0,
23,0.04,631,750,631,17.5577639544,0.0,0.0,
24,0.11,648,750,648,17.7907176003,0.0,0.0,
25,0.34,664,750,664,17.654132047,0.0,0.0,
26,0.04,656,750,656,17.8459757986,0.0,0.0,
27,0.24,663,750,663,17.800835229,0.0,0.0,
28,0.24,667,750,667,17.5777783366,0.0,0.0,
29,0.06,661,750,661,17.7188674941,0.0,0.0,
30,0.1,653,750,653,17.7465315534,0.0,0.0,
31,0.08,632,750,632,17.8217865535,0.0,0.0,
32,0.13,621,750,621,17.8091493499,90.0,0.252720428467,
33,0.13,613,750,613,18.0505758207,90.0,0.363915596008,
34,0.23,617,750,617,17.9259081973,90.0,0.315900535583,
35,0.38,603,750,603,17.7916986574,90.0,0.42120160675,
36,0.52,588,750,588,18.078273163,90.0,0.545874732971,
37,0.63,585,750,585,18.1356486246,90.0,0.61425,
38,0.63,600,750,600,17.8158062406,90.0,0.5265,
39,0.87,589,750,589,18.1320421926,90.0,0.505440856934,
40,0.99,589,750,589,18.1080880385,90.0,0.5265,
41,0.36,597,750,597,17.8884462831,90.0,0.5265,
42,0.32,604,750,604,17.934953092,90.0,0.5265,
43,0.32,604,750,604,17.9359501217,90.0,0.606528224945,
44,0.34,593,750,593,17.9998369232,90.0,0.655048072815,
45,0.55,583,750,583,18.1054303721,90.0,0.727833200455,
46,0.56,594,750,594,18.1788803939,90.0,0.737099464417,
47,0.84,584,750,584,18.254120371,90.0,0.909792337418,
48,0.84,564,750,564,18.1673055516,90.0,0.947704284668,
49,0.88,573,750,573,18.1702962748,90.0,0.909793006897,
50,1.07,560,750,560,18.4819138014,90.0,1.15829839325,
51,1.2,547,750,547,18.3412074409,90.0,1.57211999416,
52,1.34,562,750,562,18.4474479361,90.0,1.52845085907,
53,1.34,555,750,555,18.5600991216,90.0,1.51631989288,
54,1.53,536,750,536,18.3146982922,90.0,1.96515091324,
55,1.52,556,750,556,18.5006638407,90.0,2.106,
56,1.81,540,750,540,18.5991104647,90.0,1.83414183426,
57,2.24,542,750,542,18.5790905145,90.0,2.00154247284,
58,2.24,534,750,534,18.48126231,90.0,2.42611289978,
59,2.19,544,750,544,18.4403107455,90.0,2.42418729355,
60,2.57,535,750,535,18.4836241847,90.0,2.20096698761,
61,2.84,514,750,514,18.3640940993,90.0,2.62020032501,
62,2.57,514,750,514,18.5573892345,90.0,3.07125,
63,2.57,524,750,524,18.6926104027,90.0,3.03403261422,
64,2.84,494,750,494,18.7283338171,90.0,2.84310080338,
65,3.25,498,750,498,18.8679340345,90.0,3.05370026779,
66,3.71,510,750,510,18.923607226,90.0,3.28536021423,
67,3.16,516,750,516,19.062158858,90.0,3.45720987797,
68,3.16,495,750,495,18.9918993692,91.8061853952,3.6430212032,
69,3.4,486,750,486,19.3982268142,94.3986963531,3.94534770377,
70,3.63,475,750,475,19.4506719595,92.7943585762,3.86498657824,
71,3.53,463,750,463,19.4265282114,90.0,3.94243011475,
72,3.79,472,750,472,19.5565088054,88.210086134,4.11209602577,
73,3.79,481,750,481,19.6305566736,87.7974063222,4.12798235371,
74,4.22,481,750,481,19.5652664723,89.999995227,4.36700221539,
75,5.01,446,750,446,19.6486730846,90.0,4.45890969173,
76,4.12,459,750,459,19.9529232672,88.4925617203,4.58560450624,
77,4.87,468,750,468,19.8091207919,87.990446187,4.85459316535,
78,4.87,481,750,481,19.8491498232,88.2642838069,4.98527570142,
79,4.7,479,750,479,19.7519366703,90.0,5.00175,
80,5.0,460,750,460,19.645175946,90.0,4.95022088351,
81,5.18,450,750,450,19.6641490504,90.0,5.15970026779,
82,5.04,450,750,450,19.5229193819,91.8935046454,5.16077464021,
83,5.04,463,750,463,19.6124736392,93.3664690769,5.18692094455,
84,5.45,478,750,478,19.5664530094,90.896924689,5.27679354858,
85,5.78,469,750,469,19.2968434419,88.1221225527,5.35346921398,
86,5.81,466,750,466,19.1431570684,88.3634254344,5.56434860295,
87,5.57,475,750,475,19.1266581848,91.1934882387,5.89935118913,
88,5.57,466,750,466,19.3337574098,92.9609283583,5.95100602508,
89,4.12,468,750,468,19.2941804248,92.0454213766,6.0119827027,
90,5.4,470,750,470,19.5102963545,87.7974095066,5.91364785004,
91,5.81,472,750,472,19.5213746818,86.8201619973,5.70263561962,
92,5.62,471,750,471,19.3162168012,88.9859445855,5.70375,
93,5.62,466,750,466,19.1438560618,90.0,5.65134470313,
94,5.41,481,750,481,19.0530667127,91.9749378565,5.68129950366,
95,5.53,471,750,471,19.0708261152,93.0857497031,5.82490871095,
96,5.53,467,750,467,18.7747771944,91.2960380281,5.87990481428,
97,5.04,444,750,444,18.9422380389,90.0,5.81805181931,
98,5.04,431,750,431,19.1732599494,88.3153156821,5.76422729702,
99,5.27,460,750,460,19.2170952859,88.9324898642,5.79216473458,
100,5.33,444,750,444,19.5061225439,90.0,5.91364952374,
101,5.25,482,750,482,19.6151335173,90.0,6.00210214233,
102,5.03,461,750,461,19.5862803241,88.2901859559,5.89949623446,
103,5.03,453,750,453,19.5126562551,89.2639101262,6.12237038726,
104,5.91,434,750,434,19.7597531388,90.0,6.19292904371,
105,5.57,437,750,437,19.9210813789,90.7588748566,6.19045115604,
106,5.54,424,750,424,19.6375417864,90.9022713925,6.21314626393,
107,5.55,449,750,449,19.320309729,91.2730297329,6.05888153417,
108,5.55,478,750,478,19.5098425929,92.4895595512,6.07169935912,
109,5.93,468,750,468,19.7122057365,92.6606344337,6.07711431639,
110,5.64,454,750,454,19.7379011765,90.6800361047,6.03215658857,
111,5.69,477,750,477,19.9632748059,90.0,5.9740616684,
112,6.04,484,750,484,19.9716398509,90.0,6.10740053558,
113,6.04,456,750,456,19.9505505744,88.8766954193,6.21876054954,
114,6.04,417,750,417,20.1397483914,90.0,6.31887743461,
115,6.23,425,750,425,20.4119270207,90.9093666856,6.52944995887,
116,6.36,421,750,421,20.2814438722,88.6360749049,6.52193966225,
117,6.52,430,750,430,20.1155046976,87.0363654567,6.51480962884,
118,6.52,479,750,479,20.0964213331,88.6028219807,6.44389697704,
119,6.19,449,750,449,20.0192063538,91.1457647802,6.42416276268,
120,6.48,448,750,448,19.9226899857,91.6365834897,6.49883395791,
121,6.35,474,750,474,19.5797886246,90.0,6.55050215149,
122,6.74,490,750,490,19.4863665717,88.8766954193,6.55574115764,
123,6.74,490,750,490,19.4325585274,90.0,6.60290899658,
124,6.63,469,750,469,19.5590623149,91.4144232114,6.67180779648,
125,5.87,453,750,453,19.8629677688,92.9737310825,6.68729869278,
126,6.46,476,750,476,19.6498697599,92.202603784,6.46292826021,
127,6.02,464,750,464,19.7304732336,90.0,6.52193899295,
128,6.02,443,750,443,19.7196199288,88.6028093472,6.37034923385,
129,6.64,473,750,473,19.8602402565,87.7974040802,6.44931362129,
130,6.37,451,750,451,19.9936314841,88.8425469981,6.49701032062,
131,6.1,451,750,451,20.1316284606,90.0,6.57557797962,
132,6.31,433,750,433,20.1017186347,90.0,6.581834974,
133,6.31,457,750,457,20.0188241583,90.0,6.67353099332,
134,5.16,480,750,480,19.9627997297,90.0,6.63390053558,
135,6.03,439,750,439,19.8039765618,90.0,6.55976930897,
136,7.01,458,750,458,20.1186887825,88.7707554831,6.5201770792,
137,6.82,478,750,478,20.0912230616,90.0,6.42983884251,
138,6.82,464,750,464,19.8538476467,90.0,6.40815365862,
139,6.77,455,750,455,19.9529232672,90.0,6.55050482941,
140,7.24,461,750,461,20.2101043198,90.7538483331,6.67180913544,
141,6.03,482,750,482,20.2724254097,90.7638984609,6.81756133931,
142,6.44,471,750,471,20.0618169121,90.0,6.91442042542,
143,6.44,450,750,450,19.9907726917,91.0299792487,6.99061578917,
144,6.51,424,750,424,20.1356876074,92.6425496389,7.08067204983,
145,6.61,432,750,432,20.2744832653,91.5074417402,7.33323495204,
146,6.96,399,750,399,20.3338504499,90.9877620235,7.32432854203,
147,5.65,399,750,399,20.5339417023,91.4320961842,7.34656843738,
148,5.65,415,750,415,20.6186321114,92.6724742437,7.29142429393,
149,6.95,400,750,400,20.7991986393,92.290596401,7.2964533936,
150,6.43,408,750,408,20.4102384428,90.9616109399,7.20886247328,
151,6.41,412,750,412,20.7052504788,90.0,7.06444209377,
152,7.33,436,750,436,20.4804000078,91.3113384425,6.93585889007,
153,7.33,436,750,436,20.3074658662,91.7357083495,6.92447501411,
