n,rtk,p,m,n,hz,t,v,
1,0.06,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.06,61,125,61,43.5197609388,81.8699122169,3.01819199481,
3,0.06,101,125,101,42.8029512914,0.0,0.0,
4,0.05,63,125,63,40.0594449008,0.0,0.0,
5,0.05,109,125,109,39.5178307282,0.0,0.0,
6,0.05,100,125,100,39.3731542238,0.0,0.0,
7,0.05,104,125,104,39.5286312059,0.0,0.0,
8,0.05,99,125,99,38.6725061545,0.0,0.0,
9,0.05,102,125,102,38.5282786622,0.0,0.0,
10,0.05,98,125,98,38.6386616552,0.0,0.0,
11,0.05,106,125,106,38.4100807707,0.0,0.0,
12,0.03,97,125,97,37.9403346902,0.0,0.0,
13,0.03,104,125,104,37.8113894724,0.0,0.0,
14,0.07,106,125,106,37.3454425657,0.0,0.0,
15,0.07,105,125,105,37.432097884,0.0,0.0,
16,0.07,97,125,97,36.3874102093,0.0,0.0,
17,0.06,102,125,102,36.0515033264,0.0,0.0,
18,0.06,106,125,106,36.6340355658,0.0,0.0,
19,0.04,105,125,105,36.4975983293,0.0,0.0,
20,0.04,100,125,100,35.4608048698,0.0,0.0,
21,0.03,108,125,108,35.4296526558,0.0,0.0,
22,0.03,103,125,103,34.1589080366,0.0,0.0,
23,0.03,107,125,107,34.4068972872,0.0,0.0,
24,0.06,107,125,107,34.5816451887,0.0,0.0,
25,0.06,113,125,113,34.36545678,0.0,0.0,
26,0.06,95,125,95,33.8709218942,0.0,0.0,
27,0.06,98,125,98,33.8903531807,0.0,0.0,
28,0.06,93,125,93,33.5549688795,0.0,0.0,
29,0.03,86,125,86,33.6292233928,0.0,0.0,
30,0.03,97,125,97,33.3333651225,0.0,0.0,
31,0.03,95,125,95,33.2670050761,0.0,0.0,
32,0.04,90,125,90,33.1170223686,0.0,0.0,
33,0.04,102,125,102,32.7825985009,0.0,0.0,
34,0.05,98,125,98,32.9455973608,0.0,0.0,
35,0.05,113,125,113,32.5616911599,0.0,0.0,
36,0.05,104,125,104,32.9805700806,0.0,0.0,
37,0.04,106,125,106,32.7513684457,0.0,0.0,
38,0.04,94,125,94,33.4077053581,0.0,0.0,
39,0.03,96,125,96,33.3933425157,0.0,0.0,
40,0.03,94,125,94,33.9155649354,0.0,0.0,
41,0.03,105,125,105,33.5829103079,0.0,0.0,
42,0.03,98,125,98,33.4425999458,0.0,0.0,
43,0.03,98,125,98,33.3188014362,0.0,0.0,
44,0.01,106,125,106,33.543429755,0.0,0.0,
45,0.01,106,125,106,33.6699873967,0.0,0.0,
46,0.01,108,125,108,33.8936395446,0.0,0.0,
47,0.02,107,125,107,34.1097385435,0.0,0.0,
48,0.02,100,125,100,34.0750995207,0.0,0.0,
49,0.03,103,125,103,33.8788559243,0.0,0.0,
50,0.03,94,125,94,35.1850478579,0.0,0.0,
51,0.03,104,125,104,35.0987782427,0.0,0.0,
52,0.02,101,125,101,34.9577769999,0.0,0.0,
53,0.02,93,125,93,35.2086764545,0.0,0.0,
54,0.04,103,125,103,34.9846025523,0.0,0.0,
55,0.04,100,125,100,35.017607721,0.0,0.0,
56,0.04,99,125,99,34.9394310467,0.0,0.0,
57,0.04,99,125,99,34.9636051416,0.0,0.0,
58,0.04,100,125,100,35.1184680951,0.0,0.0,
59,0.05,97,125,97,35.0544834561,0.0,0.0,
60,0.05,95,125,95,35.1738353809,0.0,0.0,
61,0.05,93,125,93,35.0729504633,0.0,0.0,
62,0.04,101,125,101,35.0594647007,0.0,0.0,
63,0.04,100,125,100,34.7173234668,0.0,0.0,
64,0.06,100,125,100,35.0667926327,0.0,0.0,
65,0.06,105,125,105,35.0547764313,0.0,0.0,
66,0.06,108,125,108,34.8421997009,0.0,0.0,
67,0.05,103,125,103,35.0179000801,0.0,0.0,
68,0.05,102,125,102,34.9039586575,0.0,0.0,
69,0.04,98,125,98,35.1593877312,0.0,0.0,
70,0.04,100,125,100,34.9808094877,0.0,0.0,
71,0.04,100,125,100,35.0618093057,0.0,0.0,
72,0.04,103,125,103,34.9945267655,0.0,0.0,
