n,rtk,p,m,n,hz,t,v,
1,0.01,0,0,0,59.25915879,NaN,NaN,
2,0.01,NaN,NaN,NaN,NaN,NaN,NaN,
3,0.01,73,106,73,55.2944340443,0.0,0.0,
4,0.01,43,125,43,35.5871712201,91.0000515002,40.2575052285,
5,0.01,96,125,96,36.0580118809,0.0,0.0,
6,0.01,61,125,61,25.3800314656,-24.7281875636,17.5733870482,
7,0.02,94,125,94,24.9146346534,0.0,0.0,
8,0.02,92,125,92,25.0539331346,0.0,0.0,
9,0.02,96,125,96,24.8816752684,0.0,0.0,
10,0.03,101,125,101,24.9028006199,0.0,0.0,
11,0.03,104,125,104,24.9988318036,0.0,0.0,
12,0.03,102,125,102,25.2869993006,0.0,0.0,
13,0.03,96,125,96,25.3247112383,0.0,0.0,
14,0.03,95,125,95,25.4680276157,0.0,0.0,
15,0.03,97,125,97,25.5329883728,0.0,0.0,
16,0.03,100,125,100,25.4400679323,0.0,0.0,
17,0.03,103,125,103,25.1692470176,0.0,0.0,
18,0.03,103,125,103,25.5532106738,0.0,0.0,
19,0.03,101,125,101,25.5179202638,0.0,0.0,
20,0.03,99,125,99,25.7984007873,0.0,0.0,
21,0.03,97,125,97,25.7401379581,0.0,0.0,
22,0.05,97,125,97,25.9396023377,0.0,0.0,
23,0.05,101,125,101,25.8886879448,0.0,0.0,
24,0.05,105,125,105,26.1049224813,0.0,0.0,
25,0.04,100,125,100,26.153266739,0.0,0.0,
26,0.04,94,125,94,26.2667693714,0.0,0.0,
27,0.04,101,125,101,26.3005342497,0.0,0.0,
28,0.04,98,125,98,26.3560638432,0.0,0.0,
29,0.04,102,125,102,26.30119394,0.0,0.0,
30,0.03,93,125,93,26.3082877017,0.0,0.0,
31,0.03,97,125,97,26.4494696616,0.0,0.0,
32,0.01,96,125,96,26.4361330661,0.0,0.0,
33,0.01,91,125,91,26.4229763697,0.0,0.0,
34,0.01,99,125,99,26.2977309349,0.0,0.0,
35,0.03,102,125,102,26.1498425761,0.0,0.0,
36,0.03,92,125,92,26.7608225453,0.0,0.0,
37,0.02,106,125,106,26.3421594734,0.0,0.0,
38,0.02,102,125,102,25.9046772032,0.0,0.0,
39,0.02,101,125,101,25.9929723667,0.0,0.0,
40,0.02,94,125,94,26.1909918011,0.0,0.0,
41,0.02,94,125,94,26.4361330661,0.0,0.0,
42,0.03,99,125,99,25.8826172008,0.0,0.0,
43,0.03,94,125,94,25.8771878952,0.0,0.0,
44,0.03,97,125,97,25.9686714464,0.0,0.0,
45,0.03,102,125,102,26.1903376273,0.0,0.0,
46,0.03,97,125,97,26.0933918951,0.0,0.0,
47,0.02,99,125,99,25.9080374571,0.0,0.0,
48,0.02,99,125,99,25.934950904,0.0,0.0,
49,0.02,96,125,96,26.3663360113,0.0,0.0,
50,0.01,97,125,97,26.2398198255,0.0,0.0,
51,0.01,94,125,94,26.1986807915,0.0,0.0,
52,0.01,95,125,95,26.3684908685,0.0,0.0,
53,0.01,97,125,97,26.4018531574,0.0,0.0,
54,0.01,98,125,98,26.0585373733,0.0,0.0,
55,0.02,91,125,91,26.2426108066,0.0,0.0,
56,0.02,102,125,102,26.1232950087,0.0,0.0,
57,0.03,101,125,101,26.3970344823,0.0,0.0,
58,0.03,96,125,96,26.3033381622,0.0,0.0,
59,0.03,95,125,95,26.3185226553,0.0,0.0,
60,0.02,89,125,89,26.4339671396,0.0,0.0,
61,0.02,99,125,99,26.2335833078,0.0,0.0,
62,0.01,96,125,96,26.2370294379,0.0,0.0,
63,0.01,97,125,97,26.2791123141,0.0,0.0,
64,0.01,96,125,96,26.4633206095,0.0,0.0,
65,0.01,93,125,93,25.9261337998,0.0,0.0,
66,0.01,98,125,98,26.0063492063,0.0,0.0,
67,0.03,90,125,90,25.8906056135,0.0,0.0,
68,0.03,89,125,89,25.618763743,0.0,0.0,
69,0.03,97,125,97,25.5826679923,0.0,0.0,
70,0.04,91,125,91,25.7526232739,0.0,0.0,
71,0.04,98,125,98,25.7474064161,0.0,0.0,
72,0.0,92,125,92,26.0667967633,0.0,0.0,
73,0.0,91,125,91,26.1068723196,0.0,0.0,
74,0.0,91,125,91,26.366501757,0.0,0.0,
75,0.01,95,125,95,26.3623587384,0.0,0.0,
76,0.01,100,125,100,26.2847116035,0.0,0.0,
77,0.0,89,125,89,26.4409660276,0.0,0.0,
78,0.0,94,125,94,26.4243080974,0.0,0.0,
79,0.0,96,125,96,25.8451375966,0.0,0.0,
80,0.01,95,125,95,25.9957110805,0.0,0.0,
81,0.01,97,125,97,25.9887848614,0.0,0.0,
82,0.02,93,125,93,25.8832560924,0.0,0.0,
83,0.02,97,125,97,25.7134694728,0.0,0.0,
84,0.02,99,125,99,25.6958261093,0.0,0.0,
85,0.01,100,125,100,25.7584749926,0.0,0.0,
86,0.01,93,125,93,25.7341366743,0.0,0.0,
87,0.0,100,125,100,26.1314327012,0.0,0.0,
88,0.0,98,125,98,26.1738305626,0.0,0.0,
89,0.0,95,125,95,26.1692580299,0.0,0.0,
90,0.01,97,125,97,26.3887305512,0.0,0.0,
91,0.01,96,125,96,26.4586463794,0.0,0.0,
92,0.02,96,125,96,26.1821632115,0.0,0.0,
93,0.02,97,125,97,26.1834707751,0.0,0.0,
94,0.02,94,125,94,26.1089849732,0.0,0.0,
95,0.01,94,125,94,26.3560638432,0.0,0.0,
96,0.01,96,125,96,26.1890293778,0.0,0.0,
97,0.0,92,125,92,26.2376859463,0.0,0.0,
98,0.0,100,125,100,26.198517149,0.0,0.0,
99,0.0,98,125,98,26.4103316479,0.0,0.0,
100,0.01,95,125,95,25.8117369043,0.0,0.0,
101,0.01,87,125,87,26.3830868616,-90.0,0.181957463264,
102,0.03,81,125,81,26.2708823972,-90.0,0.454897842407,
103,0.03,90,125,90,26.3454687068,-90.0,0.5265,
104,0.03,90,125,90,26.1083348895,-90.0,0.61425,
105,0.08,84,125,84,26.3658387865,-90.0,0.631799732208,
106,0.08,84,125,84,26.0491507002,-90.0,0.758159946442,
107,0.46,86,125,86,25.9725308069,-90.0,0.947700937271,
108,0.46,87,125,87,26.353248679,-90.0,1.01088037491,
109,0.46,82,125,82,26.4299694382,-90.0,1.0917508049,
110,0.71,82,125,82,26.5063006358,-90.0,1.36468817139,
111,0.71,78,125,78,26.5210496364,-90.0,1.31010016251,
112,1.05,82,125,82,26.1307814992,-94.3987498182,1.37308629885,
113,1.05,82,125,82,26.3804318429,-90.0,1.63762553787,
114,1.05,80,125,80,26.4508040613,-90.0,1.93943094847,
115,1.49,85,125,85,25.9181234513,-90.0,2.09616133118,
116,1.49,77,125,77,26.2081755583,-90.0,2.14812096405,
117,1.87,82,125,82,26.5096512407,-90.0,2.3166001339,
118,1.87,80,125,80,26.5230621356,-92.1210963967,2.40084005356,
119,1.87,79,125,79,26.5633763569,-92.3859680209,2.52939311083,
120,2.33,82,125,82,26.4544743548,-91.9772804609,2.65452219513,
