datetime,unix_time,latitude,longitude,elevation,speed
15:28.9,1440530129,4525.598268,7356.375915,48.755,0.04
15:29.0,1440530129,4525.598268,7356.375915,48.755,0.04
15:29.0,1440530129,4525.598274,7356.375919,48.754,0.16
15:29.0,1440530129,4525.598274,7356.375919,48.754,0.16
15:29.1,1440530129,4525.598274,7356.375919,48.754,0.16
15:29.1,1440530129,4525.598285,7356.375929,48.772,0.31
15:29.2,1440530129,4525.598285,7356.375929,48.772,0.31
15:29.2,1440530129,4525.598296,7356.375933,48.774,0.52
15:29.2,1440530129,4525.598296,7356.375933,48.774,0.52
15:29.3,1440530129,4525.598296,7356.375933,48.774,0.52
15:29.3,1440530129,4525.598316,7356.375947,48.791,0.84
15:29.4,1440530129,4525.598316,7356.375947,48.791,0.84
15:29.4,1440530129,4525.598336,7356.375958,48.796,1.18
15:29.4,1440530129,4525.598336,7356.375958,48.796,1.18
15:29.5,1440530129,4525.598336,7356.375958,48.796,1.18
15:29.5,1440530130,4525.598371,7356.375975,48.813,1.57
15:29.6,1440530130,4525.598371,7356.375975,48.813,1.57
15:29.6,1440530130,4525.598398,7356.375996,48.801,1.97
15:29.6,1440530130,4525.598398,7356.375996,48.801,1.97
15:29.7,1440530130,4525.598398,7356.375996,48.801,1.97
15:29.7,1440530130,4525.598446,7356.376032,48.815,2.43
15:29.8,1440530130,4525.598446,7356.376032,48.815,2.43
15:29.8,1440530130,4525.598489,7356.376059,48.817,2.97
15:29.8,1440530130,4525.598489,7356.376059,48.817,2.97
15:29.9,1440530130,4525.598489,7356.376059,48.817,2.97
15:29.9,1440530130,4525.598558,7356.376102,48.832,3.48
15:30.0,1440530130,4525.598558,7356.376102,48.832,3.48
15:30.0,1440530130,4525.598612,7356.376134,48.833,3.93
15:30.0,1440530130,4525.598612,7356.376134,48.833,3.93
15:30.1,1440530130,4525.598612,7356.376134,48.833,3.93
15:30.1,1440530130,4525.598696,7356.376184,48.853,4.52
15:30.2,1440530130,4525.598696,7356.376184,48.853,4.52
15:30.2,1440530130,4525.59876,7356.376227,48.854,4.93
15:30.2,1440530130,4525.59876,7356.376227,48.854,4.93
15:30.3,1440530130,4525.59876,7356.376227,48.854,4.93
15:30.3,1440530130,4525.598852,7356.376281,48.869,5.41
15:30.3,1440530130,4525.598852,7356.376281,48.869,5.41
15:30.4,1440530130,4525.598922,7356.376329,48.866,5.65
15:30.4,1440530130,4525.598922,7356.376329,48.866,5.65
15:30.5,1440530130,4525.598922,7356.376329,48.866,5.65
15:30.5,1440530131,4525.599017,7356.376393,48.873,5.97
15:30.6,1440530131,4525.599017,7356.376393,48.873,5.97
15:30.6,1440530131,4525.599091,7356.376445,48.871,6.07
15:30.6,1440530131,4525.599091,7356.376445,48.871,6.07
15:30.7,1440530131,4525.599091,7356.376445,48.871,6.07
15:30.7,1440530131,4525.599189,7356.376507,48.883,6.24
15:30.8,1440530131,4525.599189,7356.376507,48.883,6.24
15:30.8,1440530131,4525.599275,7356.376557,48.886,6.43
15:30.8,1440530131,4525.599275,7356.376557,48.886,6.43
15:30.9,1440530131,4525.599275,7356.376557,48.886,6.43
15:30.9,1440530131,4525.599352,7356.376637,48.912,6.51
15:30.9,1440530131,4525.599352,7356.376637,48.912,6.51
15:31.0,1440530131,4525.599435,7356.376691,48.904,6.5
15:31.0,1440530131,4525.599435,7356.376691,48.904,6.5
15:31.1,1440530131,4525.599435,7356.376691,48.904,6.5
15:31.1,1440530131,4525.599508,7356.376769,48.923,6.58
15:31.2,1440530131,4525.599508,7356.376769,48.923,6.58
15:31.2,1440530131,4525.599594,7356.376824,48.931,6.58
15:31.2,1440530131,4525.599594,7356.376824,48.931,6.58
15:31.3,1440530131,4525.599594,7356.376824,48.931,6.58
15:31.3,1440530131,4525.599679,7356.3769,48.941,6.64
15:31.4,1440530131,4525.599679,7356.3769,48.941,6.64
15:31.4,1440530131,4525.599773,7356.37696,48.952,6.81
15:31.4,1440530131,4525.599773,7356.37696,48.952,6.81
15:31.5,1440530131,4525.599773,7356.37696,48.952,6.81
15:31.5,1440530132,4525.599862,7356.377041,48.967,6.94
15:31.6,1440530132,4525.599862,7356.377041,48.967,6.94
15:31.6,1440530132,4525.599957,7356.377103,48.973,7.04
15:31.6,1440530132,4525.599957,7356.377103,48.973,7.04
