n,rtk,p,m,n,hz,t,v,
1,0.03,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.02,1,500,1,38.1317696259,84.2894181334,3.04776587793,
3,0.02,327,500,327,29.2851287852,0.0,0.0,
4,0.02,8,500,8,23.757973978,0.0,0.0,
5,0.02,425,500,425,21.366152843,0.0,0.0,
6,0.02,49,500,49,19.9417291088,0.0,0.0,
7,0.02,409,500,409,18.4013161647,0.0,0.0,
8,0.02,407,500,407,18.3836531466,0.0,0.0,
9,0.02,440,500,440,18.2139308668,0.0,0.0,
10,0.01,410,500,410,18.4654776947,0.0,0.0,
11,0.01,422,500,422,18.3099811413,0.0,0.0,
12,0.03,423,500,423,18.3533262446,0.0,0.0,
13,0.03,427,500,427,18.3260614058,0.0,0.0,
14,0.03,401,500,401,18.5123406659,0.0,0.0,
15,0.03,434,500,434,18.3026304306,0.0,0.0,
16,0.03,399,500,399,18.4240294482,0.0,0.0,
17,0.02,417,500,417,18.4798780434,0.0,0.0,
18,0.02,412,500,412,18.461413864,0.0,0.0,
19,0.02,414,500,414,18.4993582591,0.0,0.0,
20,0.02,409,500,409,18.5126675023,0.0,0.0,
21,0.02,419,500,419,18.4226537416,0.0,0.0,
22,0.02,420,500,420,18.4750754322,0.0,0.0,
23,0.02,415,500,415,18.4903873707,0.0,0.0,
24,0.02,388,500,388,18.5469676535,0.0,0.0,
25,0.02,386,500,386,18.581148191,0.0,0.0,
26,0.02,396,500,396,18.6109119307,0.0,0.0,
27,0.01,430,500,430,18.5304975568,0.0,0.0,
28,0.01,406,500,406,18.5835356668,0.0,0.0,
29,0.01,383,500,383,18.6327386452,0.0,0.0,
30,0.01,420,500,420,18.5645351899,0.0,0.0,
31,0.01,366,500,366,18.8476702751,0.0,0.0,
32,0.03,425,500,425,18.6129766622,0.0,0.0,
33,0.03,419,500,419,18.565603449,0.0,0.0,
34,0.03,393,500,393,18.7645298247,0.0,0.0,
35,0.03,398,500,398,18.7818392688,0.0,0.0,
36,0.03,374,500,374,18.8178204495,0.0,0.0,
37,0.04,411,500,411,18.8044062067,0.0,0.0,
38,0.04,421,500,421,18.6396942494,0.0,0.0,
39,0.04,390,500,390,18.7709121179,0.0,0.0,
40,0.04,422,500,422,18.5267323934,0.0,0.0,
41,0.04,432,500,432,18.5835356668,0.0,0.0,
42,0.01,423,500,423,18.7056152916,0.0,0.0,
43,0.01,405,500,405,18.7596620464,0.0,0.0,
44,0.01,398,500,398,18.8033945871,0.0,0.0,
45,0.02,408,500,408,18.7374534278,0.0,0.0,
46,0.02,390,500,390,18.7779712844,0.0,0.0,
47,0.02,375,500,375,18.7666287842,0.0,0.0,
48,0.02,386,500,386,18.7427284468,0.0,0.0,
49,0.02,367,500,367,18.8711599028,0.0,0.0,
50,0.02,373,500,373,18.8679340345,0.0,0.0,
51,0.02,374,500,374,18.9139643844,0.0,0.0,
52,0.03,389,500,389,18.7807459813,0.0,0.0,
53,0.03,400,500,400,18.7610046295,0.0,0.0,
54,0.03,403,500,403,18.756390305,0.0,0.0,
55,0.01,396,500,396,18.6508008502,0.0,0.0,
56,0.01,410,500,410,18.6612564513,0.0,0.0,
57,0.03,404,500,404,18.7800732522,0.0,0.0,
58,0.03,393,500,393,18.7361142132,0.0,0.0,
59,0.03,391,500,391,18.7868027126,0.0,0.0,
60,0.02,374,500,374,18.9025422392,0.0,0.0,
61,0.02,394,500,394,18.7702400931,0.0,0.0,
62,0.03,393,500,393,18.5467216159,0.0,0.0,
63,0.03,380,500,380,18.6852822859,0.0,0.0,
64,0.03,366,500,366,18.9616770419,0.0,0.0,
65,0.02,354,500,354,19.0016218616,0.0,0.0,
66,0.02,381,500,381,18.7825121245,0.0,0.0,
67,0.03,376,500,376,18.8911338813,0.0,0.0,
68,0.03,376,500,376,18.936850137,0.0,0.0,
69,0.03,349,500,349,19.0077357781,0.0,0.0,
70,0.03,323,500,323,18.925400342,-90.0,0.218349357605,
71,0.03,288,500,288,19.0832339961,-90.0,0.505440522194,
72,0.1,276,500,276,19.2329568643,-90.0,0.505440856934,
73,0.1,280,500,280,19.2503465178,-90.0,0.5265,
74,0.1,274,500,274,19.2722828235,-90.0,0.631801071167,
75,0.2,281,500,281,19.2722828235,-90.0,0.631801071167,
76,0.2,259,500,259,19.3341138943,-90.0,0.702,
77,0.45,252,500,252,19.3806586359,-90.0,0.884520160675,
78,0.45,261,500,261,19.2038093494,-90.0,1.01088037491,
79,0.45,234,500,234,19.4397638105,-90.0,1.01088037491,
80,0.67,242,500,242,19.3625859227,-90.0,1.09174946594,
81,0.67,202,500,202,19.6367143426,-90.0,1.3274480054,
82,0.91,214,500,214,19.4844655864,-90.0,1.36890053558,
83,0.91,212,500,212,19.6040401774,-90.0,1.27370860291,
84,0.91,186,500,186,19.6680218518,-90.0,1.45566773987,
85,1.2,174,500,174,19.8330062748,-90.0,1.66387521137,
86,1.2,201,500,201,19.5452994958,-90.0,1.5795,
87,1.44,176,500,176,19.7761505783,-90.0,1.64268010712,
88,1.44,176,500,176,19.7472869458,-90.0,1.96818365479,
89,1.44,149,500,149,19.8763339968,-90.0,2.12284811783,
90,1.74,139,500,139,20.0064107456,-90.0,2.10782733223,
91,1.74,153,500,153,19.968882414,-90.0,2.19375,
92,2.04,126,500,126,20.1592048409,-90.0,2.42611156082,
93,2.04,135,500,135,20.1861767919,-92.3859389798,2.43084676223,
94,2.04,153,500,153,20.0449425315,-93.945186229,2.46325988276,
95,2.34,110,500,110,20.2704659356,-93.8140748343,2.6383435144,
96,2.34,123,500,123,20.2363339863,-93.8140753007,2.79138386841,
97,2.54,141,500,141,20.1292130787,-92.2025922429,2.78278970403,
98,2.54,131,500,131,20.1730698936,-90.0,2.84442572783,
