n,rtk,p,m,n,hz,t,v,
1,0.05,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.03,262,500,262,20.2671356988,77.4711922908,1.68585269423,
3,0.03,382,500,382,19.6100895341,0.0,0.0,
4,0.03,399,500,399,19.4817505365,0.0,0.0,
5,0.03,417,500,417,19.4993212459,0.0,0.0,
6,0.03,381,500,381,19.5909460331,0.0,0.0,
7,0.05,391,500,391,19.5874694114,0.0,0.0,
8,0.05,394,500,394,19.5656315453,0.0,0.0,
9,0.03,409,500,409,19.5431138115,0.0,0.0,
10,0.03,370,500,370,19.6993368277,0.0,0.0,
11,0.03,394,500,394,19.578691861,0.0,0.0,
12,0.03,384,500,384,19.6803881363,0.0,0.0,
13,0.03,392,500,392,19.6252292719,0.0,0.0,
14,0.04,364,500,364,19.8377902852,0.0,0.0,
15,0.04,404,500,404,19.6683907696,0.0,0.0,
16,0.04,374,500,374,19.766737358,0.0,0.0,
17,0.03,387,500,387,19.7366937552,0.0,0.0,
18,0.03,394,500,394,19.6959141219,0.0,0.0,
19,0.03,407,500,407,19.6826970004,0.0,0.0,
20,0.03,408,500,408,19.6444398649,0.0,0.0,
21,0.03,382,500,382,19.8204475108,0.0,0.0,
22,0.02,390,500,390,19.7620806634,0.0,0.0,
23,0.02,400,500,400,19.6749413641,0.0,0.0,
24,0.01,372,500,372,19.8086530242,0.0,0.0,
25,0.01,356,500,356,19.8700251555,0.0,0.0,
26,0.01,326,500,326,19.9983979555,0.0,0.0,
27,0.04,331,500,331,20.0625846045,0.0,0.0,
28,0.04,329,500,329,19.933768036,0.0,0.0,
29,0.06,323,500,323,20.0421648174,0.0,0.0,
30,0.06,364,500,364,19.8510286858,0.0,0.0,
31,0.06,365,500,365,19.781933433,0.0,0.0,
32,0.05,358,500,358,19.9214598512,0.0,0.0,
33,0.05,397,500,397,19.6873163542,0.0,0.0,
34,0.05,395,500,395,19.6892571294,0.0,0.0,
35,0.05,393,500,393,19.7335365825,0.0,0.0,
36,0.05,378,500,378,19.8243821282,0.0,0.0,
37,0.05,402,500,402,19.6927699813,0.0,0.0,
38,0.05,373,500,373,19.8227893568,0.0,0.0,
39,0.02,400,500,400,19.7045194024,0.0,0.0,
40,0.02,394,500,394,19.6648866092,0.0,0.0,
41,0.02,391,500,391,19.7558441314,0.0,0.0,
42,0.04,372,500,372,19.8219462285,0.0,0.0,
43,0.04,387,500,387,19.7847328028,0.0,0.0,
44,0.05,395,500,395,19.74840268,0.0,0.0,
45,0.05,383,500,383,19.7812803607,0.0,0.0,
46,0.05,412,500,412,19.6680218518,0.0,0.0,
47,0.02,394,500,394,19.6634115468,0.0,0.0,
48,0.02,393,500,393,19.7207325387,0.0,0.0,
49,0.04,399,500,399,19.6799264285,0.0,0.0,
50,0.04,394,500,394,19.7025756174,0.0,0.0,
51,0.04,407,500,407,19.6591719748,0.0,0.0,
52,0.01,370,500,370,19.7768965631,0.0,0.0,
53,0.01,357,500,357,19.9203244773,0.0,0.0,
54,0.02,355,500,355,19.8874548368,0.0,0.0,
55,0.02,368,500,368,19.8708723789,0.0,0.0,
56,0.02,374,500,374,19.8161399597,0.0,0.0,
57,0.01,377,500,377,19.806688641,0.0,0.0,
58,0.01,396,500,396,19.7535180755,0.0,0.0,
59,0.03,400,500,400,19.7176731635,0.0,0.0,
60,0.03,395,500,395,19.670327815,0.0,0.0,
61,0.03,389,500,389,19.7957513486,0.0,0.0,
62,0.03,378,500,378,19.7734468551,0.0,0.0,
63,0.03,385,500,385,19.7839862267,0.0,0.0,
64,0.04,392,500,392,19.783239707,0.0,0.0,
65,0.04,387,500,387,19.7683211342,0.0,0.0,
66,0.04,384,500,384,19.8306620143,0.0,0.0,
67,0.06,395,500,395,19.7613357959,0.0,0.0,
68,0.06,390,500,390,19.7335365825,0.0,0.0,
69,0.06,397,500,397,19.7355793436,0.0,0.0,
70,0.06,373,500,373,19.8744503412,0.0,0.0,
71,0.06,387,500,387,19.760497887,0.0,0.0,
72,0.07,374,500,374,19.8279433663,0.0,0.0,
73,0.07,365,500,365,19.8984937258,0.0,0.0,
74,0.06,365,500,365,19.8483044511,0.0,0.0,
75,0.06,373,500,373,19.9222168391,0.0,0.0,
76,0.06,373,500,373,19.8629677688,0.0,0.0,
77,0.04,369,500,369,19.8981161256,0.0,0.0,
78,0.04,382,500,382,19.8192299696,0.0,0.0,
79,0.05,394,500,394,19.7592876996,0.0,0.0,
80,0.05,396,500,396,19.642139967,0.0,0.0,
81,0.05,405,500,405,19.7192490867,0.0,0.0,
82,0.04,373,500,373,19.8933973316,0.0,0.0,
83,0.04,328,500,328,20.0408241275,-90.0,0.1755,
84,0.04,297,500,297,20.2122469436,-90.0,0.628848667145,
85,0.04,274,500,274,20.329711023,-90.0,0.842400535583,
86,0.04,261,500,261,20.3575366933,-90.0,0.727833869934,
87,0.15,259,500,259,20.4327094518,-90.0,0.656305285545,
88,0.15,275,500,275,20.36208286,-90.0,0.8775,
89,0.33,259,500,259,20.4381855481,-90.0,0.8775,
90,0.33,266,500,266,20.3683124275,-90.0,0.78975,
91,0.33,276,500,276,20.3488453328,-90.0,1.01088037491,
92,0.61,252,500,252,20.6186321114,-90.0,1.0917508049,
93,0.61,246,500,246,20.6603747562,-90.0,0.96525,
94,0.92,244,500,244,20.6906445009,-90.0,1.05299866104,
95,0.92,224,500,224,20.8381558029,-90.0,1.26359946442,
96,0.92,245,500,245,20.7301177785,-90.0,1.36890053558,
97,1.13,267,500,267,20.6568134471,-90.0,1.25769733429,
98,1.13,269,500,269,20.7060682056,-90.0,1.26360214233,
99,1.34,216,500,216,20.9934581638,-90.0,1.66795161438,
100,1.34,189,500,189,21.1055401801,-90.0,1.76903898239,
101,1.34,213,500,213,21.0150210937,-90.0,1.51631989288,
102,1.54,228,500,228,21.0690697931,-90.0,1.57212233734,
103,1.54,201,500,201,21.2498936062,-90.0,1.81958467484,
104,1.76,206,500,206,21.1985565405,-90.0,1.83414183426,
105,1.76,189,500,189,21.2733893955,-90.0,1.76904032135,
106,1.76,196,500,196,21.3351781109,-90.0,2.00154247284,
107,1.86,195,500,195,21.3761709154,-90.0,2.21129839325,
108,1.86,194,500,194,21.3242226425,-90.0,2.19550429856,
109,2.08,193,500,193,21.3269333442,-90.0,2.37006222156,
110,2.08,171,500,171,21.3738833541,-90.0,2.57774328232,
111,2.08,167,500,167,21.3019126654,-90.0,2.62020166397,
112,2.39,145,500,145,21.4725827177,-90.0,2.6325,
113,2.39,151,500,151,21.35157809,-90.0,2.91133414078,
