n,rtk,p,m,n,hz,t,v,
1,0.03,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.03,24,500,24,26.9964535127,77.9848300194,2.1494625136,
3,0.03,381,500,381,24.2848193245,0.0,0.0,
4,0.03,400,500,400,23.971560839,0.0,0.0,
5,0.03,404,500,404,23.8754966586,0.0,0.0,
6,0.05,385,500,385,23.7664551224,0.0,0.0,
7,0.05,427,500,427,23.5705238077,0.0,0.0,
8,0.05,362,500,362,23.630014817,0.0,0.0,
9,0.06,411,500,411,23.2866819161,0.0,0.0,
10,0.06,392,500,392,23.1696220432,0.0,0.0,
11,0.04,416,500,416,23.027659738,0.0,0.0,
12,0.04,375,500,375,23.1765355967,0.0,0.0,
13,0.04,416,500,416,23.0265219516,0.0,0.0,
14,0.04,384,500,384,23.073898238,0.0,0.0,
15,0.04,413,500,413,22.8123636878,0.0,0.0,
16,0.05,363,500,363,22.765559952,0.0,0.0,
17,0.05,398,500,398,22.6515883045,0.0,0.0,
18,0.05,380,500,380,22.7019782956,0.0,0.0,
19,0.04,389,500,389,22.6855248284,0.0,0.0,
20,0.04,343,500,343,23.0909201015,0.0,0.0,
21,0.06,389,500,389,22.8467840335,0.0,0.0,
22,0.06,390,500,390,22.882806405,0.0,0.0,
23,0.06,428,500,428,22.7433398945,0.0,0.0,
24,0.05,366,500,366,23.3186596912,0.0,0.0,
25,0.05,408,500,408,23.0680606964,0.0,0.0,
26,0.04,417,500,417,22.9784585716,0.0,0.0,
27,0.04,413,500,413,23.0904116225,0.0,0.0,
28,0.04,334,500,334,23.5510685368,0.0,0.0,
29,0.03,413,500,413,23.1325641422,0.0,0.0,
30,0.03,391,500,391,23.0700908106,0.0,0.0,
31,0.06,395,500,395,23.0520860241,0.0,0.0,
32,0.06,390,500,390,23.438936886,0.0,0.0,
33,0.06,417,500,417,23.2720816295,0.0,0.0,
34,0.05,403,500,403,23.210908447,0.0,0.0,
35,0.05,427,500,427,23.2093671839,0.0,0.0,
36,0.03,409,500,409,23.5422118196,0.0,0.0,
37,0.03,404,500,404,23.4768522924,0.0,0.0,
38,0.03,406,500,406,23.599435095,0.0,0.0,
39,0.04,417,500,417,23.4449636669,0.0,0.0,
40,0.04,400,500,400,23.7033286239,0.0,0.0,
41,0.03,391,500,391,23.7919349258,0.0,0.0,
42,0.03,385,500,385,23.9010747296,0.0,0.0,
43,0.03,388,500,388,23.9560893976,0.0,0.0,
44,0.02,397,500,397,23.9469254924,0.0,0.0,
45,0.02,358,500,358,24.3060697025,0.0,0.0,
46,0.06,398,500,398,23.9148387832,0.0,0.0,
47,0.06,392,500,392,24.1446038361,0.0,0.0,
48,0.06,381,500,381,24.1615724046,0.0,0.0,
49,0.03,418,500,418,23.887462554,0.0,0.0,
50,0.03,410,500,410,23.9710128362,0.0,0.0,
51,0.08,408,500,408,23.8822939917,0.0,0.0,
52,0.08,408,500,408,23.9560893976,0.0,0.0,
53,0.08,400,500,400,23.9211128157,0.0,0.0,
54,0.08,399,500,399,23.9492499986,0.0,0.0,
55,0.08,404,500,404,23.9245239969,0.0,0.0,
56,0.05,417,500,417,23.9228865086,0.0,0.0,
57,0.05,408,500,408,23.9918545721,0.0,0.0,
58,0.05,395,500,395,24.0182328351,0.0,0.0,
59,0.05,395,500,395,23.9906195126,0.0,0.0,
60,0.05,402,500,402,23.8680240598,0.0,0.0,
61,0.05,331,500,331,24.0935640266,-90.0,0.126360214233,
62,0.05,287,500,287,24.4410491291,-90.0,0.45489516449,
63,0.05,262,500,262,24.732170129,-90.0,0.737099464417,
64,0.03,256,500,256,24.7599100349,-90.0,0.737099464417,
65,0.03,268,500,268,24.6578718401,-90.0,0.702,
66,0.26,233,500,233,25.0288162598,-90.0,0.884519491196,
67,0.26,223,500,223,24.9918308735,-90.0,0.8775,
68,0.26,240,500,240,25.0809000724,-90.0,0.8775,
69,0.47,198,500,198,25.3492001136,-90.0,1.2285,
70,0.47,171,500,171,25.4991488741,-90.0,1.49175,
71,0.75,167,500,167,25.5434066369,-94.0856093835,1.4067395148,
72,0.75,182,500,182,25.4090906337,-94.398638928,1.3956915175,
73,0.75,187,500,187,25.5550789628,-93.5763712279,1.66955761356,
74,1.17,194,500,194,25.7393481556,-90.0,1.5795,
75,1.17,224,500,224,25.3112625144,-90.0,1.63762486839,
76,1.47,170,500,170,25.6278427491,-90.0,2.09616133118,
77,1.47,156,500,156,25.713627112,-92.48957904,2.40185096741,
78,1.47,168,500,168,25.5193175872,-92.8624342956,2.15183289952,
79,1.89,161,500,161,25.5976564646,-90.0,2.10782733223,
80,1.89,130,500,130,25.7586331841,-92.0453784186,2.52939311083,
81,2.29,158,500,158,25.6331679175,-90.0,2.77992002678,
82,2.29,150,500,150,25.6811942053,-90.0,2.72937634277,
83,2.29,163,500,163,25.6430409929,-91.7357045889,2.83855102158,
84,2.7,149,500,149,25.7440876979,-91.974953912,3.0555159515,
85,2.7,126,500,126,25.8484824207,-91.9091233232,3.18788040468,
86,3.12,107,500,107,25.9423298161,-92.2026017489,3.33911522712,
87,3.12,113,500,113,26.087062526,-90.0,3.45721021271,
88,3.12,122,500,122,26.0098971834,-90.0,3.58020026779,
89,3.56,115,500,115,26.0750613907,-91.3639275316,3.67228225651,
90,3.56,144,500,144,25.9275761884,-91.8678821488,3.86199703036,
91,3.95,129,500,129,26.2570677351,-92.6025622025,3.93636372992,
92,3.95,103,500,103,26.5316186657,-92.5335892813,4.00693877924,
93,3.95,100,500,100,26.564722275,-93.5763408715,4.04507513064,
94,4.38,92,500,92,26.6467434119,-93.0127763426,4.06975644271,
95,4.38,117,500,117,26.4584794731,-90.0,4.21200066948,
96,4.58,148,500,148,26.0559472707,-87.7093899574,4.3034979706,
97,4.58,152,500,152,26.1630550046,-90.0,4.42440524917,
98,4.58,129,500,129,26.5674145204,-91.5911430798,4.563843672,
99,4.91,113,500,113,26.7371105105,-93.1509798405,4.6821451322,
100,4.91,73,500,73,27.1775027538,-92.7263014551,4.63798480588,
101,5.05,73,500,73,27.087637721,-93.3664606634,4.55597429459,
102,5.05,120,500,120,26.7838925146,-92.726318148,4.59054807507,
103,5.05,103,500,103,26.962265849,-92.1018308382,4.72523391023,
104,5.23,134,500,134,26.6696170256,-91.041626676,4.82625,
105,5.23,107,500,107,26.9475415524,-91.0230301887,4.95021974067,
106,5.31,147,500,147,26.7423951645,-92.009553813,5.00482800029,
107,5.31,88,500,88,27.2889004554,-92.9609361342,5.05915156378,
108,5.31,124,500,124,26.8052890914,-91.9749340109,5.05878616592,
109,5.41,144,500,144,26.5484122111,-91.3971833735,5.16077466753,
110,5.41,133,500,133,26.6354058843,-91.1457743447,5.17799359067,
111,5.6,128,500,128,26.8751938283,-90.9548412539,5.30862370288,
112,5.6,84,500,84,27.0044489084,-91.8778774473,5.35306972602,
113,5.6,69,500,69,27.5005671499,-92.245736413,5.3556262764,
114,5.72,139,500,139,26.5886350382,-91.847610266,5.3556262764,
115,5.72,108,500,108,26.8982889978,-91.847610266,5.44332990916,
116,5.72,141,500,141,26.3013588678,-92.7263167098,5.43935376913,
117,5.72,110,500,110,26.6580905953,-92.6630050255,5.46085827146,
118,5.72,119,500,119,26.9114053999,-91.1017174273,5.46178450779,
119,5.91,84,500,84,27.5717938773,-90.8951737102,5.52999069874,
120,5.91,47,500,47,28.2829438023,-92.1610875171,5.6124331064,
121,5.93,32,500,32,28.7728454515,-91.9936789935,5.61243042946,
122,5.93,54,500,54,28.747996902,-91.0809350761,5.57158546687,
123,5.93,59,500,59,28.5274405381,-91.2730318181,5.6421774775,
124,5.98,75,500,75,28.243140054,-91.9562212979,5.68738965165,
125,5.98,120,500,120,28.0356670187,-92.1211178541,5.64364455709,
126,5.93,144,500,144,28.0426024109,-91.9451494039,5.6918134565,
127,5.93,134,500,134,28.1451578269,-91.7899178066,5.69181351595,
128,5.93,67,500,67,28.6549022019,-91.5074595677,5.68760409919,
129,5.9,83,500,83,28.5462737358,-91.7623910237,5.69009834135,
130,5.9,93,500,93,28.602532716,-93.0128081191,5.71453979446,
131,5.88,115,500,115,28.2229952965,-93.0664915241,5.734577911,
132,5.88,134,500,134,28.2446615802,-92.0274759031,5.89143958704,
133,5.88,101,500,101,28.4763088037,-91.0230406397,5.89774119375,
134,5.89,114,500,114,28.5616304962,-91.0230146863,5.90657204225,
135,5.89,106,500,106,28.8117821619,-92.9356807452,5.94429390851,
136,5.98,141,500,141,28.3768968993,-92.8623995485,6.03215856603,
137,5.98,110,500,110,28.4511975906,-91.9749288193,6.11103047255,
138,5.98,93,500,93,28.8800264405,-91.4687973902,6.00302577394,
139,5.98,115,500,115,28.426130626,-91.660282369,6.05729294425,
140,5.98,133,500,133,28.1841175127,-91.9749288193,6.11103047255,
141,6.17,106,500,106,28.6058489742,-92.402728728,6.11770127576,
142,6.17,102,500,102,28.6680245513,-92.3859440304,6.23580913956,
143,6.17,83,500,83,28.688613621,-91.3639252384,6.21359393347,
144,6.27,120,500,120,28.4689640193,-91.3971780193,6.27814685562,
145,6.27,121,500,121,28.5241424336,-91.5911402712,6.31860934562,
146,6.35,122,500,122,28.4211225326,-92.3453038871,6.32305239698,
147,6.35,87,500,87,28.9210486396,-91.9091475814,6.37035057243,
148,6.35,155,500,155,28.3590534145,-92.2906141645,6.32348199669,
149,6.54,178,500,178,27.9376278051,-92.8624112823,6.32774248844,
150,6.54,147,500,147,28.4413583596,-91.6365837476,6.36944612438,
151,6.54,145,500,145,28.5478280993,-91.1232867309,6.4241631303,
152,6.54,154,500,154,28.449460761,-91.1457587114,6.32097301884,
153,6.54,191,500,191,28.367300838,-92.3215305898,6.41115696462,
154,6.58,172,500,172,28.6023376659,-92.1818302385,6.55574311096,
155,6.58,177,500,177,28.8183148623,-91.8476235193,6.49587118869,
156,6.62,159,500,159,29.0335585336,-91.5911464475,6.57375564643,
157,6.62,171,500,171,28.7141458606,-92.2457462949,6.52722355249,
158,6.62,139,500,139,29.204787734,-91.8182981967,6.57557854569,
159,6.63,131,500,131,29.442183365,-91.5911344199,6.64141505512,
160,6.63,114,500,114,29.6069910917,-90.9093780635,6.57193532019,
161,6.68,92,500,92,30.0697130895,-92.0449278763,6.71946130093,
162,6.68,110,500,110,29.5690034403,-92.6698723142,6.67823045424,
163,6.68,98,500,98,30.0753190879,-92.7702200044,6.5788729217,
164,6.75,123,500,123,29.8471741884,-92.6025687425,6.77098014508,
165,6.75,126,500,126,29.7089106106,-91.7899170053,6.70184726399,
166,6.77,168,500,168,29.0275305549,-91.349664441,6.81756000134,
167,6.77,148,500,148,28.9250375847,-91.4688007144,6.84724442366,
168,6.77,148,500,148,28.9402056165,-91.0809259151,6.82839243419,
169,6.83,86,500,86,29.8560974915,-91.4783341216,6.95369423315,
170,6.83,52,500,52,30.8783874316,-92.1210997234,6.84956062916,
171,6.8,73,500,73,30.6946709015,-91.7761563465,6.95439311474,
172,6.8,75,500,75,31.182561632,-92.1210963967,7.04350577741,
173,6.8,80,500,80,31.2052972249,-92.1210997234,6.93724661699,
174,6.9,51,500,51,31.4486316263,-91.6847019493,7.0806699471,
175,6.9,131,500,131,30.3435942327,-90.8550844154,7.10829164603,
176,7.0,154,500,154,30.2170223189,-90.0,7.18444139662,
177,7.0,168,500,168,29.7725975667,-92.0095573591,7.21140289035,
178,7.0,165,500,165,29.8081444105,-92.1210963967,7.20031393847,
179,7.13,203,500,203,29.3529658763,-92.7591076586,7.28465203879,
180,7.13,171,500,171,29.1611324323,-92.4895570459,7.2846525962,
181,7.37,185,500,185,29.2285993031,-91.3639275316,7.33323499818,
182,7.37,147,500,147,29.9375026766,-91.3639275316,7.43151484152,
183,7.37,164,500,164,29.8731090282,-91.3322198539,7.46081442019,
184,7.49,114,500,114,30.123054604,-91.1574587202,7.43073995354,
185,7.49,164,500,164,29.5419290313,-91.3478872802,7.43151551086,
186,7.63,162,500,162,29.5377681376,-92.0213649404,7.46251385109,
187,7.63,188,500,188,29.0462254417,-92.6630007661,7.59107044772,
188,7.63,195,500,195,28.9880089294,-91.9749340109,7.60309908829,
189,7.69,209,500,209,28.5388928202,-90.9642627835,7.58452388573,
190,7.69,137,500,137,29.0259235166,-91.2873289415,7.68978360927,
191,7.8,116,500,116,29.6042744514,-92.2906051934,7.64537292464,
192,7.8,94,500,94,30.0606616593,-92.3215342426,7.81763366131,
193,7.8,73,500,73,30.8918055003,-91.9305874412,7.7121022,
194,7.89,84,500,84,31.1129375635,-91.5481685342,7.79504539929,
195,7.89,98,500,98,31.1032472877,-92.7263155725,7.89797611975,
196,7.96,84,500,84,31.3677251447,-91.909152433,7.90381549623,
197,7.96,77,500,77,31.5717275122,-91.5074317568,8.01133824659,
