n,rtk,p,m,n,hz,t,v,
1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,173,1500,173,10.1887824632,81.5730309785,2.33803897036,
3,0.04,994,1500,994,9.22110807965,0.0,0.0,
4,0.04,957,1500,957,9.31982641582,0.0,0.0,
5,0.03,1004,1500,1004,9.28056290035,0.0,0.0,
6,0.03,1049,1500,1049,9.17784784783,0.0,0.0,
7,0.01,991,1500,991,9.13759868937,0.0,0.0,
8,0.01,1053,1500,1053,9.21515182807,0.0,0.0,
9,0.01,993,1500,993,9.28981273325,0.0,0.0,
10,0.02,990,1500,990,9.15241351771,0.0,0.0,
11,0.02,1024,1500,1024,9.21786562759,0.0,0.0,
12,0.01,1007,1500,1007,9.15858888472,0.0,0.0,
13,0.01,1009,1500,1009,9.18864493741,0.0,0.0,
14,0.01,950,1500,950,9.30396976096,0.0,0.0,
15,0.03,1030,1500,1030,9.19269284298,0.0,0.0,
16,0.03,1043,1500,1043,9.18610926166,0.0,0.0,
17,0.01,1082,1500,1082,8.10984034788,0.0,0.0,
18,0.01,1091,1500,1091,8.96820516329,0.0,0.0,
19,0.01,1125,1500,1125,9.09131185882,0.0,0.0,
20,0.02,1064,1500,1064,9.17036311481,0.0,0.0,
21,0.02,1089,1500,1089,9.17995701448,0.0,0.0,
22,0.04,1076,1500,1076,9.12360567302,0.0,0.0,
23,0.04,1082,1500,1082,9.12009428198,0.0,0.0,
24,0.04,1012,1500,1012,9.22500203446,0.0,0.0,
25,0.04,1039,1500,1039,9.21658953771,0.0,0.0,
26,0.04,1017,1500,1017,9.23574772426,0.0,0.0,
27,0.05,1024,1500,1024,9.23200725477,0.0,0.0,
28,0.05,1042,1500,1042,9.11934077641,0.0,0.0,
29,0.05,993,1500,993,9.1643921219,0.0,0.0,
30,0.06,916,1500,916,9.20928414752,90.0,0.126360214233,
31,0.06,850,1500,850,9.38579209538,90.0,0.1755,
32,0.08,885,1495,885,9.39434812115,90.0,0.1755,
33,0.08,888,1499,888,9.41664159636,90.0,0.181959136963,
34,0.08,878,1500,878,9.23072724672,90.0,0.210599464417,
35,0.11,823,1499,823,9.41894656471,90.0,0.210599464417,
36,0.11,818,1500,818,9.28350029438,90.0,0.181959136963,
37,0.15,842,1500,842,9.37479939741,90.0,0.1755,
38,0.15,857,1496,857,9.37243220898,90.0,0.151631721497,
39,0.15,879,1500,879,9.28237030742,90.0,0.151631721497,
40,0.19,873,1500,873,9.16875939981,0.0,0.0,
41,0.19,870,1499,870,9.36883134869,0.0,0.0,
42,0.16,932,1500,932,9.31254260168,0.0,0.0,
43,0.16,960,1500,960,9.31775599201,0.0,0.0,
44,0.16,944,1500,944,9.24676309588,0.0,0.0,
45,0.13,937,1500,937,9.26948738632,0.0,0.0,
46,0.13,984,1499,984,9.165473537,0.0,0.0,
47,0.13,1021,1500,1021,9.14772261335,0.0,0.0,
48,0.13,994,1500,994,9.22926481493,0.0,0.0,
49,0.13,892,1500,892,8.37949111367,0.0,0.0,
50,0.09,940,1496,940,9.3396038193,0.0,0.0,
51,0.09,947,1500,947,9.30803730934,0.0,0.0,
52,0.08,946,1500,946,9.35708501302,0.0,0.0,
53,0.08,956,1499,956,9.32461261421,0.0,0.0,
54,0.08,916,1500,916,9.33289127324,0.0,0.0,
55,0.07,965,1500,965,9.15457095151,0.0,0.0,
56,0.07,1014,1500,1014,9.27549359564,0.0,0.0,
57,0.07,925,1500,925,9.28290444879,0.0,0.0,
58,0.07,892,1500,892,9.27953627806,0.0,0.0,
59,0.07,914,1500,914,9.26715260087,0.0,0.0,
60,0.07,921,1495,921,9.33071125388,0.0,0.0,
61,0.07,904,1498,904,9.38482605544,0.0,0.0,
62,0.05,903,1500,903,9.2938473163,0.0,0.0,
63,0.05,934,1500,934,9.25188266798,0.0,0.0,
64,0.05,923,1500,923,9.27754527839,0.0,0.0,
