n,rtk,p,m,n,hz,t,v,
1,0.06,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.06,102,1000,102,17.2205416236,81.634113876,2.98227493925,
3,0.06,756,1000,756,14.9649060212,0.0,0.0,
4,0.05,192,1000,192,16.1225129924,0.0,0.0,
5,0.05,720,1000,720,14.6716058192,0.0,0.0,
6,0.05,764,1000,764,14.5179852131,0.0,0.0,
7,0.05,790,1000,790,14.3738506722,0.0,0.0,
8,0.05,657,1000,657,14.6457855389,0.0,0.0,
9,0.05,794,1000,794,14.3608088583,0.0,0.0,
10,0.05,743,1000,743,14.393680143,0.0,0.0,
11,0.05,824,1000,824,14.241973766,0.0,0.0,
12,0.03,626,1000,626,14.5832023699,0.0,0.0,
13,0.03,791,1000,791,14.2771694176,0.0,0.0,
14,0.07,798,1000,798,13.9184729947,0.0,0.0,
15,0.07,788,1000,788,13.9905268916,0.0,0.0,
16,0.07,663,1000,663,14.0795703256,0.0,0.0,
17,0.06,817,1000,817,13.7790582693,0.0,0.0,
18,0.06,795,1000,795,13.8304914843,0.0,0.0,
19,0.04,825,1000,825,13.8240185625,0.0,0.0,
20,0.04,694,1000,694,13.9384545853,0.0,0.0,
21,0.03,823,1000,823,13.683444037,0.0,0.0,
22,0.03,664,1000,664,13.8690439188,0.0,0.0,
23,0.03,822,1000,822,13.6675258488,0.0,0.0,
24,0.06,829,1000,829,13.6780000391,0.0,0.0,
25,0.06,856,1000,856,13.588443209,0.0,0.0,
26,0.06,606,1000,606,14.0605491732,0.0,0.0,
27,0.06,761,1000,761,13.5661162772,0.0,0.0,
28,0.06,558,1000,558,14.0120734294,0.0,0.0,
29,0.03,694,1000,694,13.7860781878,0.0,0.0,
30,0.03,715,1000,715,13.665299367,0.0,0.0,
31,0.03,699,1000,699,13.7273771613,0.0,0.0,
32,0.04,612,1000,612,13.8569474637,0.0,0.0,
33,0.04,748,1000,748,13.6139362327,0.0,0.0,
34,0.05,686,1000,686,13.6875968815,0.0,0.0,
35,0.05,812,1000,812,13.4538467707,0.0,0.0,
36,0.05,735,1000,735,13.5886193033,0.0,0.0,
37,0.04,800,1000,800,13.4834731732,0.0,0.0,
38,0.04,695,1000,695,13.6054573587,0.0,0.0,
39,0.03,738,1000,738,13.6388598037,0.0,0.0,
40,0.03,630,1000,630,13.8039546089,0.0,0.0,
41,0.03,804,1000,804,13.5688811822,0.0,0.0,
42,0.03,732,1000,732,13.5517831872,0.0,0.0,
43,0.03,719,1000,719,13.7234695547,0.0,0.0,
44,0.01,715,1000,715,13.8392989125,0.0,0.0,
45,0.01,823,1000,823,13.4931027383,0.0,0.0,
46,0.01,768,1000,768,13.5359949397,0.0,0.0,
47,0.02,824,1000,824,11.7020735219,0.0,0.0,
48,0.02,743,1000,743,13.7451466174,0.0,0.0,
49,0.03,762,1000,762,13.6888923702,0.0,0.0,
50,0.03,699,1000,699,14.0024838085,0.0,0.0,
51,0.03,777,1000,777,13.7198334375,0.0,0.0,
52,0.02,804,1000,804,13.7992314576,0.0,0.0,
53,0.02,723,1000,723,13.9977639909,0.0,0.0,
54,0.04,792,1000,792,13.7997762716,0.0,0.0,
55,0.04,799,1000,799,13.7959634766,0.0,0.0,
56,0.04,700,1000,700,13.9875874995,0.0,0.0,
57,0.04,724,1000,724,13.8981801795,0.0,0.0,
58,0.04,740,1000,740,13.9099797036,0.0,0.0,
59,0.05,762,1000,762,13.8205566704,0.0,0.0,
60,0.05,695,1000,695,14.0347195267,0.0,0.0,
61,0.05,711,1000,711,13.9901069028,0.0,0.0,
62,0.04,746,1000,746,13.8985486116,0.0,0.0,
63,0.04,742,1000,742,13.874641085,0.0,0.0,
64,0.06,733,1000,733,13.9423465589,0.0,0.0,
65,0.06,790,1000,790,13.7294441517,0.0,0.0,
66,0.06,814,1000,814,13.7356938413,0.0,0.0,
67,0.05,767,1000,767,13.8629014133,0.0,0.0,
68,0.05,756,1000,756,13.8567185678,0.0,0.0,
69,0.04,736,1000,736,13.8456033327,0.0,0.0,
70,0.04,761,1000,761,13.763097621,0.0,0.0,
71,0.04,761,1000,761,13.8656052787,0.0,0.0,
72,0.04,801,1000,801,13.7891148188,0.0,0.0,
73,0.04,800,1000,800,13.7762070551,0.0,0.0,
74,0.03,794,1000,794,13.7961449905,0.0,0.0,
75,0.03,793,1000,793,13.7492919333,0.0,0.0,
76,0.03,787,1000,787,13.7722263814,0.0,0.0,
77,0.03,769,1000,769,13.7990044644,0.0,0.0,
78,0.03,775,1000,775,13.7678412579,0.0,0.0,
79,0.02,771,1000,771,13.8571305859,0.0,0.0,
80,0.02,774,1000,774,13.7642719313,0.0,0.0,
81,0.02,818,1000,818,13.7287251279,0.0,0.0,
82,0.02,830,1000,830,13.6394363816,0.0,0.0,
83,0.02,844,1000,844,13.6373520614,0.0,0.0,
84,0.05,844,1000,844,13.7136878449,0.0,0.0,
85,0.05,777,1000,777,13.7925156199,0.0,0.0,
86,0.03,676,1000,676,13.9495338852,-90.0,0.1755,
87,0.03,583,1000,583,14.2492797739,-90.0,0.524040332794,
88,0.03,603,1000,603,14.1771782227,-90.0,0.5265,
89,0.1,573,1000,573,14.1952672334,-90.0,0.5265,
90,0.1,568,1000,568,14.107368329,-90.0,0.631800066948,
91,0.21,513,1000,513,12.0657729705,-90.0,0.842399866104,
92,0.21,525,1000,525,14.4117319626,-90.0,0.8775,
93,0.21,387,1000,387,14.715823451,-90.0,0.96525,
94,0.46,378,1000,378,14.7054529645,-90.0,1.13724058914,
95,0.46,394,1000,394,14.7401300299,-90.0,1.06157449227,
96,0.46,475,1000,475,14.5376603481,-90.0,1.14075,
97,0.79,435,1000,435,14.5891879483,-90.0,1.49175,
98,0.79,429,1000,429,14.6576085437,-90.0,1.755,
99,1.03,485,1000,485,14.4740975913,-90.0,1.5795,
100,1.03,410,1000,410,14.7771573121,-90.0,1.5795,
101,1.03,379,1000,379,14.7647249328,-90.0,2.0015438118,
102,1.39,361,1000,361,14.9371928375,-90.0,2.14811962509,
103,1.39,357,1000,357,14.9696061216,-90.0,2.00154247284,
104,1.78,310,1000,310,15.0920389328,-90.0,2.02176074982,
105,1.78,321,1000,321,15.0936682441,-92.2025981618,2.37087444311,
106,1.78,297,1000,297,15.186244302,-90.0,2.37087444311,
107,2.17,321,1000,321,15.1607194494,-90.0,2.457,
108,2.17,286,1000,286,15.2704501434,-90.0,2.73982402524,
109,2.42,324,1000,324,15.2021514886,-90.0,3.03263978577,
110,2.42,353,1000,353,15.1384486561,-90.0,3.05690171814,
111,2.42,330,1000,330,15.1272013821,-91.6365770416,3.05620883482,
112,2.85,340,1000,340,15.2079943146,-90.0,3.16075454846,
113,2.85,339,1000,339,15.1842101452,-90.0,3.3345,
114,3.26,288,1000,288,15.3959527069,-90.0,3.51,
115,3.26,285,1000,285,15.3015358798,-91.6846585005,3.54033502134,
116,3.26,307,1000,307,15.2380509497,-90.0,3.66444018745,
117,3.65,303,1000,303,15.2676152723,-90.0,3.77427021091,
118,3.65,286,1000,286,15.3671283066,-92.2025944251,3.89752283982,
119,3.92,259,1000,259,15.5202610945,-93.4682159277,4.05140998971,
120,3.92,278,1000,278,15.4748524203,-92.045404783,4.18899786359,
121,3.92,290,1000,290,15.3824577875,-90.0,4.212,
122,4.32,323,1000,323,15.292888265,-90.0,4.19232232761,
123,4.32,273,1000,273,15.5545072909,-90.0,4.29624058914,
124,4.68,284,1000,284,15.4746240463,-92.2906100426,4.39100859712,
125,4.68,300,1000,300,15.3645388408,-93.2704928632,4.532795663,
126,4.68,283,1000,283,15.4894823919,-92.6629936889,4.55071568475,
127,4.99,274,1000,274,15.6164746707,-91.3019658369,4.563843672,
128,4.99,225,1000,225,15.7572196572,-91.909148783,4.63439669807,
129,5.06,289,1000,289,15.5320431637,-91.2730346949,4.70303849435,
130,5.06,289,1000,289,15.4971513024,-91.041626676,4.75180917197,
