n,rtk,p,m,n,hz,t,v,
1,0.04,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,485,1000,485,11.2349334498,79.6951535312,1.9944093065,
3,0.03,811,1000,811,10.6268850332,0.0,0.0,
4,0.03,815,1000,815,10.574826476,0.0,0.0,
5,0.03,875,1000,875,10.4754678528,0.0,0.0,
6,0.02,767,1000,767,10.6282314425,0.0,0.0,
7,0.02,831,1000,831,10.5113814924,0.0,0.0,
8,0.02,816,1000,816,10.5029848952,0.0,0.0,
9,0.02,804,1000,804,10.6134665361,0.0,0.0,
10,0.02,718,1000,718,10.7036324383,0.0,0.0,
11,0.03,707,1000,707,10.6557728559,0.0,0.0,
12,0.03,621,1000,621,10.8181754873,0.0,0.0,
13,0.02,672,1000,672,10.4499688567,0.0,0.0,
14,0.02,609,1000,609,10.8528298372,0.0,0.0,
15,0.02,615,1000,615,10.7643687748,90.0,0.105301071167,
16,0.07,640,1000,640,10.6334317839,90.0,0.105301071167,
17,0.07,615,1000,615,11.0295150941,90.0,0.105301071167,
18,0.09,642,1000,642,10.7994850404,0.0,0.0,
19,0.09,683,1000,683,10.6293626899,0.0,0.0,
20,0.09,690,1000,690,10.715801468,0.0,0.0,
21,0.1,832,1000,832,10.5402795962,0.0,0.0,
22,0.1,748,1000,748,10.6155886492,0.0,0.0,
23,0.1,830,1000,830,10.5535401114,0.0,0.0,
24,0.1,791,1000,791,10.5178130352,0.0,0.0,
25,0.1,831,1000,831,10.7130644449,0.0,0.0,
26,0.13,775,1000,775,10.2657646633,0.0,0.0,
27,0.13,873,1000,873,10.4932889348,0.0,0.0,
28,0.09,821,1000,821,10.5364138094,0.0,0.0,
29,0.09,808,1000,808,10.4983580296,0.0,0.0,
30,0.09,838,1000,838,10.4946017019,0.0,0.0,
31,0.07,818,1000,818,10.4346043522,0.0,0.0,
32,0.07,818,1000,818,10.5507526362,0.0,0.0,
33,0.06,756,1000,756,10.7142138243,0.0,0.0,
34,0.06,756,1000,756,10.5599967773,0.0,0.0,
35,0.06,748,1000,748,10.6492796896,0.0,0.0,
36,0.06,763,1000,763,10.5578702538,0.0,0.0,
37,0.06,816,1000,816,10.5485237161,0.0,0.0,
38,0.05,820,1000,820,10.6292549417,0.0,0.0,
39,0.05,794,1000,794,10.6004033624,0.0,0.0,
40,0.05,792,1000,792,9.09032667755,0.0,0.0,
41,0.02,650,1000,650,10.8308302518,-90.0,0.181959136963,
42,0.02,568,1000,568,10.8943244008,-90.0,0.505438179016,
43,0.03,521,1000,521,10.9047760185,-90.0,0.5265,
44,0.03,491,1000,491,10.9946760685,-90.0,0.631799732208,
45,0.03,522,1000,522,11.0606074191,-90.0,0.727833869934,
46,0.32,524,1000,524,11.0308494243,-90.0,0.758158607483,
47,0.32,488,1000,488,11.0440069408,-90.0,1.04808066559,
48,0.49,471,1000,471,11.1019751296,-90.0,1.47419892883,
49,0.49,422,1000,422,11.3585818238,-90.0,1.47420160675,
50,0.49,410,1000,410,11.4369106764,-90.0,1.32795252429,
51,0.89,397,1000,397,11.2705267797,-96.0090059575,1.67646139607,
52,0.89,338,1000,338,11.327445865,-90.0,2.12284677887,
53,1.37,317,1000,317,11.3284860795,-90.0,2.09616133118,
54,1.37,302,1000,302,11.4154017827,-90.0,1.89540053558,
55,1.37,265,1000,265,11.4339487881,-90.0,2.40185096741,
56,1.89,268,1000,268,11.520755909,-90.0,2.88100806427,
57,1.89,240,1000,240,11.504418759,-92.8623998639,2.90902524081,
58,2.45,277,1000,277,11.6781583593,-96.3401794059,2.73419653819,
59,2.45,237,1000,237,11.6799144538,-97.1250163489,2.8941066346,
60,2.45,229,1000,229,11.7785434867,-94.3987124977,3.34487530597,
61,3.02,237,1000,237,11.6754277061,-93.4682267593,3.50041985211,
62,3.02,208,1000,208,12.0682725839,-93.468219927,3.60202794444,
63,3.55,187,1000,187,12.0208185257,-93.270500372,3.68967620531,
64,3.55,207,1000,207,11.6989074559,-93.8140851985,3.80394083939,
65,3.55,195,1000,195,11.6593622563,-94.3987100721,4.10528120524,
66,4.05,235,1000,235,10.3388195275,-95.946863054,4.33186476157,
67,4.05,240,1000,240,11.6819638983,-96.5198029747,4.45139073689,
68,4.61,226,1000,226,11.886224711,-94.0856096584,4.51474939144,
69,4.61,258,1000,258,11.6059038058,-92.6025873129,4.46949097575,
70,4.61,261,1000,261,11.5568168981,-93.0940633652,4.56848059725,
71,5.1,196,1000,196,11.6882468343,-94.3987176067,4.75148221611,
72,5.1,219,1000,219,11.5977204416,-95.1944289077,4.82820901691,
73,5.61,223,1000,223,12.1643841973,-94.3986970219,4.82351096676,
74,5.61,223,1000,223,9.98731793039,-93.7113791199,4.9535783235,
75,5.61,241,1000,241,11.9365932233,-92.9356782238,5.00867284068,
76,5.78,228,1000,228,11.6464770156,-94.0856017987,5.04060288987,
77,5.78,238,1000,238,11.7182569728,-94.7636354101,5.17686257844,
78,6.07,258,1000,258,11.6514593826,-93.9452016966,5.27993186302,
79,6.07,203,1000,203,11.8531045027,-94.5739096772,5.37070145558,
80,6.07,175,1000,175,12.0851721018,-93.8140683048,5.48534146328,
81,6.14,182,1000,182,11.9358798872,-94.2364097081,5.66836131119,
82,6.14,199,1000,199,11.8760607408,-93.9004963956,5.66076693508,
83,6.21,162,1000,162,10.3778562397,-94.3160161725,5.63311259984,
84,6.21,210,1000,210,12.3569770319,-94.6354614075,5.72060011057,
85,6.21,177,1000,177,12.1765677574,-95.3558446339,5.83449592301,
86,6.21,187,1000,187,12.0678211882,-95.8411768875,5.97625943115,
87,6.21,181,1000,181,12.4402841423,-94.2053570017,5.94676238969,
88,6.3,162,1000,162,12.516574157,-92.7927209819,5.80212661444,
89,6.3,166,1000,166,12.2974152085,-92.5637702115,5.94429385158,
90,6.3,196,1000,196,12.4725424717,-92.4895498836,5.97343157644,
91,6.51,208,1000,208,12.2604618533,-93.2704879232,6.08231505671,
92,6.51,189,1000,189,10.6699771556,-94.5739188554,6.21223558709,
93,6.67,213,1000,213,12.2156841045,-94.7636416907,6.25245690209,
94,6.67,222,1000,222,12.1113796559,-93.5035130027,6.32589259697,
95,6.67,247,1000,247,12.0318186121,-92.2025959198,6.1450066314,
96,6.57,245,1000,245,11.9761978185,-91.6846908772,6.216267378,
97,6.57,257,1000,257,11.9984666876,-91.9749288193,6.216267378,
98,6.68,209,1000,209,12.3017794346,-92.4027266235,6.37893476983,
99,6.68,193,1000,193,12.0730664057,-93.7517442772,6.53602388298,
100,6.68,143,1000,143,12.1102256716,-93.6913988211,6.59585878601,
101,6.67,91,1000,91,12.5125414668,-92.8624062775,6.888742293,
102,6.67,72,1000,72,12.7634251215,-92.2605019111,7.07939507994,
103,6.7,57,1000,57,12.4511046066,-91.2873320449,6.95299056218,
104,6.7,50,1000,50,12.8376101861,-90.7638984609,6.9872042141,
105,6.7,34,1000,34,12.507355068,-92.1886711382,6.94905232401,
106,7.0,70,1000,70,12.4343832916,-92.5266552584,7.2536721299,
107,7.0,53,1000,53,12.9185488168,-91.1366796026,7.42711257525,
108,7.21,52,1000,52,12.7027369173,-90.6474030472,7.54634066391,
109,7.21,63,1000,63,13.0806299704,-91.2453617574,7.65779196699,
110,7.21,67,1000,67,12.8001562519,-91.7357000772,7.13915565324,
111,7.3,83,1000,83,13.1653331743,-91.1097109793,7.45952142516,
112,7.3,65,1000,65,12.8288931982,-90.8680601449,7.70796034813,
113,7.53,76,1000,76,13.2731559277,-91.3478872802,7.46081442019,
114,7.53,86,1000,86,12.8285792935,-91.1854910885,7.62267801845,
115,7.53,78,1000,78,13.2364205557,-90.0,7.65713580185,
116,7.57,71,1000,71,12.8259117235,-90.0,7.64333689355,
117,7.57,98,1000,98,13.1125269641,-88.6028162781,7.55570494752,
118,7.62,104,1000,104,12.6818430577,-88.6670622867,7.58288532761,
119,7.62,85,1000,85,12.6097076287,-88.3634229606,7.64537327836,
120,7.62,84,1000,84,12.9510188076,-88.7424972551,7.64537361296,
121,7.74,92,1000,92,12.651508479,-88.3096652656,7.59312324007,
122,7.74,104,1000,104,12.8708588543,-88.1523851687,7.37400794239,
123,7.85,101,1000,101,12.481747437,-90.0,7.44337772202,
124,7.85,118,1000,118,12.8075435055,-90.7902719998,7.64442011324,
125,7.85,148,1000,148,12.2749219338,-90.0,7.81045986982,
126,7.9,132,1000,132,12.3691848549,-90.0,7.82421343231,
127,7.9,79,1000,79,12.8198745614,-90.0,7.86430326492,
128,8.05,40,1000,40,12.5085859821,-90.0,7.8863234449,
129,8.05,31,1000,31,12.9664732451,-90.0,8.09199316063,
130,8.05,24,1000,24,12.7079326413,-90.0,8.21340053558,
131,8.27,23,1000,23,12.5119069282,-88.2643018165,8.32136498066,
132,8.27,33,1000,33,12.8080519369,-87.0643293006,8.30878786259,
133,8.41,42,1000,42,12.5413874661,-89.2838373229,8.31869892883,
134,8.41,65,1000,65,12.8817690418,-92.4628166759,8.43130932892,
135,8.41,76,1000,76,12.6050843434,-91.7061711373,8.49680615395,
136,8.63,61,1000,61,12.6972763682,-89.4093427854,8.43095983007,
137,8.63,65,1000,65,13.298237493,-90.761544452,8.65592659848,
138,8.85,85,1000,85,12.6219643577,-91.4688134109,8.74243683443,
139,8.85,118,1000,118,12.8844203199,-91.4144285382,8.69123772112,
140,8.85,93,1000,93,12.7437250666,-92.0952562436,8.74560767896,
141,8.99,130,1000,130,12.3704252062,-91.134421631,8.78507646928,
142,8.99,112,1000,112,12.779524992,-89.3027155498,8.80387866211,
143,9.17,99,1000,99,12.3793338548,-88.602819286,8.853319697,
144,9.17,73,1000,73,12.8450407465,-90.0,8.94628830528,
145,9.17,58,1000,58,12.5656593497,-93.3274043399,9.07109205332,
146,9.28,79,1000,79,12.5385755967,-92.6630065654,9.10928732551,
147,9.28,74,1000,74,12.7856021509,-89.4437477729,9.05641327216,
148,9.35,45,1000,45,12.5164247517,-88.9821181227,9.2711411076,
149,9.35,42,1000,42,13.1319866248,-91.1305068312,9.50923959564,
150,9.35,53,1000,53,12.7043913905,-92.6324283375,9.57458962353,
151,9.32,57,1000,57,13.1023685016,-90.7013051489,9.31113634687,
152,9.32,79,1000,79,12.7560886596,-90.0,9.17070716286,
153,9.34,123,1000,123,12.6696228991,-90.0,9.16140270089,
154,9.34,150,1000,150,12.9540187285,-93.2321140926,9.26073025036,
155,9.34,173,1000,173,12.3986189283,-93.1292427682,9.45046790953,
156,9.63,127,1000,127,12.843900049,-91.5765500552,9.47952801366,
157,9.63,96,1000,96,12.5280142416,-90.0,9.58258967721,
158,9.8,139,1000,139,13.1336725588,-90.0,9.79143749729,
159,9.8,119,1000,119,12.5870027759,-90.8425227292,9.91613826673,
160,9.8,72,1000,72,12.8485427733,-91.7899129775,10.0084866687,
161,9.87,38,1000,38,13.1497311617,-91.0050860053,9.91900741175,
162,9.87,31,1000,31,13.0862619808,-90.0,9.6881717418,
163,10.12,55,1000,55,13.1682678421,-90.0,9.82575557041,
164,10.12,47,1000,47,12.9863458192,-91.2254290686,9.91827341461,
165,10.12,40,1000,40,13.0642105821,-91.8475976438,10.0084893242,
166,10.34,83,1000,83,12.7988282323,-91.2188800152,10.0464797045,
167,10.34,79,1000,79,12.9869891814,-90.0,10.1593440857,
168,10.43,56,1000,56,12.8259509444,-90.0,10.1843357506,
169,10.43,20,1000,20,13.1478350276,-91.0100615013,11.1547097529,
170,10.43,18,1000,18,10.9289565088,-91.4688006182,10.533290111,
171,10.68,20,1000,20,12.8239509827,-91.4320998417,10.9235702646,
172,10.68,26,1000,26,13.3684700363,-91.5349473796,10.7734713366,
