n,rtk,p,m,n,hz,t,v,
1,0.03,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.03,5,673,5,45.9287356825,99.5301271973,45.5262558195,
3,0.03,403,659,403,26.0186099601,0.0,0.0,
4,0.03,12,750,12,25.5885988299,0.0,0.0,
5,0.04,526,750,526,21.7027957012,0.0,0.0,
6,0.04,100,750,100,23.2871990761,0.0,0.0,
7,0.04,611,750,611,20.4671081204,0.0,0.0,
8,0.04,578,750,578,20.6550841114,0.0,0.0,
9,0.04,594,750,594,20.4767005317,0.0,0.0,
10,0.03,577,750,577,20.5279118255,0.0,0.0,
11,0.03,610,750,610,20.3931697071,0.0,0.0,
12,0.04,551,750,551,20.6855423766,0.0,0.0,
13,0.04,604,750,604,20.4335057925,0.0,0.0,
14,0.04,578,750,578,20.6138693665,0.0,0.0,
15,0.02,598,750,598,20.5426913187,0.0,0.0,
16,0.02,581,750,581,20.6245125759,0.0,0.0,
17,0.02,627,750,627,20.4633136066,0.0,0.0,
18,0.02,599,750,599,20.6070837243,0.0,0.0,
19,0.02,602,750,602,20.5397739515,0.0,0.0,
20,0.02,583,750,583,20.6440028941,0.0,0.0,
21,0.02,613,750,613,20.5120500782,0.0,0.0,
22,0.01,593,750,593,20.3927730994,0.0,0.0,
23,0.01,595,750,595,20.5880672475,0.0,0.0,
24,0.01,559,750,559,20.8968138903,0.0,0.0,
25,0.03,544,750,544,20.6747341907,0.0,0.0,
26,0.03,551,750,551,20.5528582769,0.0,0.0,
27,0.02,552,750,552,20.6036419726,0.0,0.0,
28,0.02,526,750,526,21.060183372,0.0,0.0,
29,0.02,569,750,569,20.742522551,0.0,0.0,
30,0.03,578,750,578,20.8342224739,0.0,0.0,
31,0.03,577,750,577,20.7202865259,0.0,0.0,
32,0.03,568,750,568,20.8393982153,0.0,0.0,
33,0.03,583,750,583,20.6974852947,0.0,0.0,
34,0.03,582,750,582,20.8368100232,0.0,0.0,
35,0.0,607,750,607,20.7125100617,0.0,0.0,
36,0.0,572,750,572,20.8546298,0.0,0.0,
37,0.01,585,750,585,20.867287897,0.0,0.0,
38,0.01,565,750,565,20.913067975,0.0,0.0,
39,0.01,565,750,565,20.7965173069,0.0,0.0,
40,0.03,566,750,566,20.7593593475,0.0,0.0,
41,0.03,565,750,565,20.8584671083,0.0,0.0,
42,0.01,571,750,571,20.7412916625,0.0,0.0,
43,0.01,587,750,587,20.7412916625,0.0,0.0,
44,0.01,582,750,582,20.8651079495,0.0,0.0,
45,0.03,584,750,584,20.8190206736,0.0,0.0,
46,0.03,528,750,528,21.106389831,0.0,0.0,
47,0.02,464,750,464,21.3197785832,-90.0,0.454896503448,
48,0.02,353,750,353,21.9548790318,-90.0,0.78975,
49,0.02,283,750,283,22.3140444865,-90.0,0.909791667938,
50,0.12,245,750,245,22.5317296174,-90.0,0.945485630035,
51,0.12,212,750,212,22.713780536,-90.0,1.25769733429,
52,0.12,174,750,174,23.0239939398,-99.1887777317,1.33604672919,
53,0.25,187,750,187,22.8311142562,-90.0,1.53320338159,
54,0.25,126,750,126,23.2041027457,-90.0,1.57212233734,
55,0.67,127,750,127,23.1032575766,-90.0,1.8341404953,
56,0.67,135,750,135,23.051579254,-90.0,1.8341404953,
57,1.04,126,750,126,23.226075111,-90.0,2.0720873115,
