n,rtk,p,m,n,hz,t,v,
1,0.04,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.05,46,750,46,24.064396569,83.8844872464,2.9652748471,
3,0.05,492,750,492,21.4160092724,0.0,0.0,
4,0.05,440,750,440,21.6679271796,0.0,0.0,
5,0.05,422,750,422,21.7523195088,0.0,0.0,
6,0.05,406,750,406,21.7917619186,0.0,0.0,
7,0.06,353,750,353,22.2221845463,0.0,0.0,
8,0.06,399,750,399,21.7732095766,0.0,0.0,
9,0.06,388,750,388,21.9307719658,0.0,0.0,
10,0.03,362,750,362,22.3398348868,0.0,0.0,
11,0.03,424,750,424,21.8397596447,0.0,0.0,
12,0.03,367,750,367,22.2172406852,0.0,0.0,
13,0.03,406,750,406,21.8689107527,0.0,0.0,
14,0.03,394,750,394,21.9375395543,0.0,0.0,
15,0.04,366,750,366,22.214298955,0.0,0.0,
16,0.04,346,750,346,22.3115518012,90.0,0.151631721497,
17,0.03,362,750,362,22.1818739522,90.0,0.151632056236,
18,0.03,374,750,374,22.1945507173,90.0,0.1755,
19,0.03,384,750,384,22.1517660977,90.0,0.1755,
20,0.11,379,750,379,22.282629946,90.0,0.181958467484,
21,0.11,417,750,417,21.816471959,90.0,0.181957798004,
22,0.13,423,750,423,21.8597926754,90.0,0.210600133896,
23,0.13,415,750,415,21.8008233191,90.0,0.210599464417,
24,0.13,381,750,381,22.2084178311,90.0,0.218350027084,
25,0.17,400,750,400,22.146970457,90.0,0.252720428467,
26,0.17,369,750,369,22.3382881611,90.0,0.252720428467,
27,0.23,388,750,388,22.2122990234,90.0,0.252719424248,
28,0.23,410,750,410,22.1542232058,90.0,0.218350027084,
29,0.23,424,750,424,21.9954061566,90.0,0.210600133896,
30,0.2,414,750,414,22.0755165844,90.0,0.210599464417,
31,0.2,426,750,426,21.9417857666,90.0,0.181959136963,
32,0.22,427,750,427,21.9331802898,90.0,0.1755,
33,0.22,349,750,349,22.5027174059,90.0,0.181957798004,
34,0.22,326,750,326,22.6881017807,90.0,0.181958467484,
35,0.19,368,750,368,22.2045379949,90.0,0.181958467484,
36,0.19,364,750,364,22.3359090013,90.0,0.210599464417,
37,0.17,384,750,384,22.3239019821,90.0,0.181958467484,
38,0.17,403,750,403,22.0581021099,90.0,0.151632390976,
39,0.17,385,750,385,22.3089410138,90.0,0.151631721497,
40,0.12,394,750,394,22.2390337273,90.0,0.151631721497,
41,0.12,359,750,359,22.2657146649,90.0,0.151631721497,
42,0.1,337,750,337,22.4941489419,90.0,0.126360214248,
43,0.1,342,750,342,22.5149176016,90.0,0.151631721497,
44,0.1,407,750,407,22.0770271337,90.0,0.151631721497,
45,0.1,368,750,368,22.2345538303,90.0,0.151631721497,
46,0.1,408,750,408,22.0176905673,90.0,0.151631721497,
47,0.09,374,750,374,22.1848071003,90.0,0.126360214233,
48,0.09,403,750,403,21.9250399891,90.0,0.126360214233,
49,0.09,393,750,393,22.2053608771,90.0,0.126360214233,
50,0.07,404,750,404,22.0828388659,90.0,0.126360214233,
51,0.07,421,750,421,21.9355891428,90.0,0.126360214233,
52,0.08,441,750,441,21.6529379575,90.0,0.138994628906,
53,0.08,452,750,452,21.6759896641,90.0,0.126360214233,
54,0.08,362,750,362,22.282629946,0.0,0.0,
55,0.07,402,750,402,22.0211585209,0.0,0.0,
56,0.07,384,750,384,22.1215065162,0.0,0.0,
57,0.06,345,750,345,22.444676331,-90.0,0.480167341232,
58,0.06,304,750,304,22.7660542242,-90.0,0.909793006897,
59,0.06,245,750,245,23.1439244704,-90.0,0.909793006897,
60,0.15,241,750,241,22.9673858285,-75.9637565321,0.919914957811,
61,0.15,226,750,226,23.1598988415,-71.5651576525,1.10389752636,
62,0.33,243,750,243,22.9901720575,-78.6900927978,1.2886244268,
63,0.33,198,750,198,23.210523112,-80.5376974826,1.30826177021,
64,0.33,198,750,198,23.167574375,-90.0,1.31010083199,
65,0.62,201,750,201,23.0754215608,-90.0,1.66871730828,
66,0.62,160,750,160,23.0813898458,-90.0,1.76878401876,
67,1.01,150,750,150,23.3171040855,-80.5376948845,1.99440828851,
68,1.01,126,750,126,23.28551839,-80.5376379093,2.25105700765,
69,1.01,87,750,87,23.6116574813,-79.6951591528,2.45825316577,
70,1.33,106,750,106,23.4702837606,-79.3803676343,2.58146149371,
71,1.33,103,750,103,23.1874264043,-80.909745811,2.6673976883,
72,1.69,106,750,106,23.107457868,-83.6598497165,2.89692796121,
73,1.69,88,750,88,23.1496727048,-84.8056030911,3.1146251106,
74,1.69,99,750,99,23.012877279,-83.6598323556,3.06468996088,
75,2.13,79,750,79,22.9948355829,-83.2901480831,3.15753103496,
76,2.13,63,750,63,23.0968964074,-85.7635985747,3.41632561414,
77,2.53,72,750,72,23.087107055,-84.7248837149,3.41632438181,
78,2.53,66,750,66,23.0615920912,-85.2363652878,3.46746103974,
79,2.53,71,750,71,23.2051297656,-90.0,3.73676061891,
80,2.79,45,750,45,23.4597817515,-90.0,4.27325142207,
81,2.79,54,750,54,23.4961850877,-90.0,4.63586460895,
82,3.16,43,750,43,23.398402285,-90.0,4.31765505783,
83,3.16,28,750,28,23.8169284408,-90.0,4.28202503259,
84,3.16,33,750,33,23.776694406,-90.0,4.74911392593,
85,3.57,11,750,11,24.1551716194,-92.2091324763,5.25167607793,
86,3.57,9,750,9,23.8863742497,-93.6338605909,5.63493059416,
87,3.91,17,750,17,23.660273478,-92.4720964446,5.69220838176,
88,3.91,18,750,18,23.4880272383,-91.5696548698,5.97819461441,
89,3.91,16,750,16,23.6478673921,-91.8650525507,6.15348092114,
90,4.18,19,750,19,23.957184064,-90.1188741756,6.57393301598,
91,4.18,11,750,11,24.0952249644,-94.4246318036,6.34752494972,
92,4.57,15,750,15,23.9451482334,-91.5848847174,7.11827882632,
93,4.57,19,750,19,23.8806622788,-93.3748673388,6.69494995785,
