n,rtk,p,m,n,hz,t,v,
1,0.04,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,372,750,372,15.8475960176,79.6951535312,2.02548486275,
3,0.03,602,750,602,12.8019534231,0.0,0.0,
4,0.03,612,750,612,15.006883918,0.0,0.0,
5,0.03,658,750,658,14.7835116226,0.0,0.0,
6,0.02,569,750,569,15.1011676094,0.0,0.0,
7,0.02,621,750,621,14.9062438917,0.0,0.0,
8,0.02,616,750,616,15.0627172695,0.0,0.0,
9,0.02,607,750,607,14.9046547907,0.0,0.0,
10,0.02,528,750,528,15.3087962625,0.0,0.0,
11,0.03,534,750,534,15.2466920639,0.0,0.0,
12,0.03,448,750,448,15.4690880391,0.0,0.0,
13,0.02,488,750,488,15.285141616,0.0,0.0,
14,0.02,446,750,446,15.3640323083,0.0,0.0,
15,0.02,452,750,452,15.3780023245,90.0,0.105301071167,
16,0.07,469,750,469,15.4340237786,90.0,0.105301071167,
17,0.07,443,750,443,15.5411937766,90.0,0.105301071167,
18,0.09,475,750,475,15.3446965124,0.0,0.0,
19,0.09,504,750,504,15.3491888648,0.0,0.0,
20,0.09,503,750,503,15.3456509172,0.0,0.0,
21,0.1,617,750,617,15.0722437832,0.0,0.0,
22,0.1,563,750,563,15.2001130685,0.0,0.0,
23,0.1,618,750,618,15.0010336158,0.0,0.0,
24,0.1,597,750,597,15.062068173,0.0,0.0,
25,0.1,617,750,617,15.0296845213,0.0,0.0,
26,0.13,574,750,574,14.9859726599,0.0,0.0,
27,0.13,651,750,651,14.8372198325,0.0,0.0,
28,0.09,618,750,618,15.0607160683,0.0,0.0,
29,0.09,603,750,603,15.0185982225,0.0,0.0,
30,0.09,633,750,633,15.0089245457,0.0,0.0,
31,0.07,611,750,611,15.0617977326,0.0,0.0,
32,0.07,605,750,605,15.0952435794,0.0,0.0,
33,0.06,571,750,571,15.0393849861,0.0,0.0,
34,0.06,563,750,563,15.1398147547,0.0,0.0,
35,0.06,547,750,547,15.2638926292,0.0,0.0,
36,0.06,571,750,571,15.1107972764,0.0,0.0,
37,0.06,620,750,620,14.9601555116,0.0,0.0,
38,0.05,622,750,622,14.9329383785,0.0,0.0,
39,0.05,598,750,598,15.0674790206,0.0,0.0,
40,0.05,600,750,600,15.0197814161,0.0,0.0,
41,0.02,492,750,492,15.261615489,-90.0,0.181959136963,
42,0.02,405,750,405,15.5847923665,-90.0,0.505439517975,
43,0.03,389,750,389,15.7155960553,-90.0,0.5265,
44,0.03,352,750,352,15.7564501345,-90.0,0.631801071167,
45,0.03,362,750,362,15.7227832632,-90.0,0.727833869934,
46,0.32,378,750,378,15.5676125081,-90.0,0.758158607483,
47,0.32,359,750,359,15.6644158948,-90.0,1.04808066559,
48,0.49,346,750,346,15.5949909277,-90.0,1.47419892883,
49,0.49,302,750,302,15.748049471,-90.0,1.47420160675,
