n,rtk,p,m,n,hz,t,v,
1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.1,404,750,404,19.4115137014,80.9097230792,2.14770707164,
3,0.1,569,750,569,19.0301583917,0.0,0.0,
4,0.03,553,750,553,19.0996580161,0.0,0.0,
5,0.14,595,750,595,18.9128556613,0.0,0.0,
6,0.08,586,750,586,18.7938738384,0.0,0.0,
7,0.37,593,750,593,18.7909268891,0.0,0.0,
8,0.37,589,750,589,18.827111949,0.0,0.0,
9,0.16,603,750,603,18.9068026199,0.0,0.0,
10,0.04,608,750,608,18.9436924425,0.0,0.0,
11,0.21,619,750,619,18.8718391736,0.0,0.0,
12,0.22,638,750,638,18.8224650526,0.0,0.0,
13,0.22,653,750,653,18.7553838449,0.0,0.0,
14,0.15,631,750,631,18.8352283954,0.0,0.0,
15,0.04,614,750,614,18.914390851,0.0,0.0,
16,0.11,636,750,636,18.7902534305,0.0,0.0,
17,0.26,652,750,652,18.5618240074,0.0,0.0,
18,0.26,641,750,641,18.7581518701,0.0,0.0,
19,0.16,634,750,634,18.830577492,0.0,0.0,
20,0.17,605,750,605,18.864369884,0.0,0.0,
21,0.16,589,750,589,18.9039053521,0.0,0.0,
22,0.17,600,750,600,18.9523379182,0.0,0.0,
23,0.17,607,750,607,18.9433502098,0.0,0.0,
24,0.06,629,750,629,18.8008660143,0.0,0.0,
25,0.13,604,750,604,18.9060356096,0.0,0.0,
26,0.04,543,750,543,19.1673894665,90.0,0.351,
27,0.18,479,750,479,19.4458023478,90.0,0.61425,
28,0.18,465,750,465,19.5132917105,90.0,0.545874732971,
29,0.23,517,750,517,19.3147046363,90.0,0.5265,
30,0.8,453,750,453,19.4265282114,90.0,0.545874732971,
31,0.4,486,750,486,19.4058555724,90.0,0.5265,
32,0.8,505,750,505,19.2904534354,90.0,0.454896503448,
33,0.8,499,750,499,19.3670562269,90.0,0.43669871521,
34,0.05,489,750,489,19.42769798,90.0,0.505439517975,
35,0.43,511,750,511,19.3009281629,90.0,0.454897842407,
36,0.28,503,750,503,19.2708660694,90.0,0.436700054169,
37,0.65,469,750,469,19.5560528917,90.0,0.5265,
38,0.65,445,750,445,19.5844512409,90.0,0.737100803375,
39,1.05,457,750,457,19.496239553,90.0,0.631801071167,
