n,rtk,p,m,n,hz,t,v,
113,1.05,319,500,319,20.2020248726,-90.0,1.63762620735,
114,1.05,331,500,331,20.1971608529,-90.0,1.9305,
115,1.49,332,500,332,20.2269654035,-90.0,2.10599983263,
116,1.49,332,500,332,20.295870472,-90.0,2.1228482852,
117,1.87,330,500,330,20.2392634484,-90.0,2.28234343819,
118,1.87,333,500,333,20.2363339863,-90.0,2.40185096741,
119,1.87,330,500,330,20.0835268599,-92.0454084889,2.52774729034,
120,2.33,331,500,331,20.219164875,-92.045391007,2.65656735949,
121,2.33,332,500,332,20.2486434296,-92.2025645321,2.80937075917,
122,2.76,318,500,318,20.2654709907,-91.7899106082,2.90902518265,
123,2.76,331,500,331,20.2376033158,-90.0,3.14424199677,
124,2.76,320,500,320,20.2617508671,-91.847605722,3.2752524147,
125,3.23,322,500,322,20.2938082727,-91.8478162341,3.37124440914,
126,3.23,321,500,321,20.2290140397,-91.4688007144,3.59881996285,
127,3.62,329,500,329,20.1841368226,-92.4013982899,3.68967620531,
128,3.62,312,500,312,20.3025509463,-91.636552083,3.68700400943,
129,3.62,312,500,312,20.2585213414,-90.0,3.86199703036,
130,4.08,296,500,296,20.3624782748,-90.0,4.04351882172,
131,4.08,307,500,307,20.3882132198,-90.0,4.16988037491,
132,4.36,313,500,313,20.321831061,-91.6846864169,4.21565466446,
133,4.36,321,500,321,20.3446011166,-91.3971775621,4.31858230997,
134,4.36,326,500,326,20.2724254097,-90.0,4.3875,
135,4.76,320,500,320,20.2519675915,-90.0,4.42260214233,
136,4.76,316,500,316,20.3321747645,-90.0,4.47611021144,
137,4.9,335,500,335,20.2020248726,-90.0,4.54896235657,
138,4.9,318,500,318,20.2835035593,-90.0,4.563843672,
139,4.9,319,500,319,20.2338934155,-91.5911426117,4.65157775653,
140,5.15,327,500,327,20.1595924155,-91.5074382797,4.71636433411,
141,5.15,321,500,321,20.2085463332,-90.0,4.7385,
142,5.17,314,500,314,20.2494254871,-90.0,4.73931243035,
143,5.17,334,500,334,20.12477029,-88.740806117,4.73966987939,
