n,rtk,p,m,n,hz,t,v,
1,0.04,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,210,500,210,24.4093300433,81.0374631351,31.3869546728,
3,0.03,391,500,391,22.8587373561,0.0,0.0,
4,0.03,391,500,391,22.7546913908,0.0,0.0,
5,0.03,397,500,397,22.4754657936,0.0,0.0,
6,0.03,392,500,392,22.7495077806,0.0,0.0,
7,0.03,409,500,409,22.6866291649,0.0,0.0,
8,0.02,396,500,396,22.8833057815,0.0,0.0,
9,0.02,378,500,378,23.0979139591,0.0,0.0,
10,0.02,388,500,388,23.1894775835,0.0,0.0,
11,0.03,394,500,394,23.0520860241,0.0,0.0,
12,0.03,387,500,387,23.2905611763,0.0,0.0,
13,0.04,382,500,382,23.4306878425,0.0,0.0,
14,0.04,391,500,391,23.36178058,0.0,0.0,
15,0.04,401,500,401,23.2725981412,0.0,0.0,
16,0.04,379,500,379,23.8293772086,0.0,0.0,
17,0.04,404,500,404,23.6328108273,0.0,0.0,
18,0.04,392,500,392,23.863950068,0.0,0.0,
19,0.01,390,500,390,23.9584156832,0.0,0.0,
20,0.01,367,500,367,24.2177942272,0.0,0.0,
21,0.01,375,500,375,24.2624832246,0.0,0.0,
22,0.01,359,500,359,24.2505593876,0.0,0.0,
23,0.01,369,500,369,24.1972562277,0.0,0.0,
24,0.02,357,500,357,24.3162154328,0.0,0.0,
25,0.02,367,500,367,24.0952249644,0.0,0.0,
26,0.03,374,500,374,24.1068579442,0.0,0.0,
27,0.03,360,500,360,24.33865062,0.0,0.0,
28,0.03,369,500,369,24.2942437126,0.0,0.0,
29,0.03,383,500,383,23.9166115457,0.0,0.0,
30,0.03,385,500,385,24.0038000401,0.0,0.0,
31,0.03,405,500,405,23.964027996,0.0,0.0,
32,0.03,380,500,380,24.013694944,0.0,0.0,
33,0.03,396,500,396,23.9091131924,0.0,0.0,
34,0.01,374,500,374,24.0459097971,0.0,0.0,
35,0.01,384,500,384,23.906387684,0.0,0.0,
36,0.03,379,500,379,23.8350646694,0.0,0.0,
37,0.03,374,500,374,23.9177026071,0.0,0.0,
38,0.03,392,500,392,23.8475324085,0.0,0.0,
39,0.03,388,500,388,23.8270759128,0.0,0.0,
40,0.03,379,500,379,23.9573209043,0.0,0.0,
41,0.04,381,500,381,23.7812779951,0.0,0.0,
42,0.04,388,500,388,23.8514651608,0.0,0.0,
43,0.01,373,500,373,23.9424145037,0.0,0.0,
44,0.01,389,500,389,23.8368256242,0.0,0.0,
45,0.01,397,500,397,23.7908553083,0.0,0.0,
46,0.01,383,500,383,23.8174694211,0.0,0.0,
47,0.01,394,500,394,23.7001141411,0.0,0.0,
48,0.01,387,500,387,23.8107089332,0.0,0.0,
49,0.02,389,500,389,23.8897755298,0.0,0.0,
50,0.02,396,500,396,23.8601489302,0.0,0.0,
51,0.03,389,500,389,23.8778073177,0.0,0.0,
52,0.03,377,500,377,23.9929525095,0.0,0.0,
53,0.02,384,500,384,23.6973021837,0.0,0.0,
54,0.02,384,500,384,23.9103398739,0.0,0.0,
55,0.02,403,500,403,23.7602619444,0.0,0.0,
56,0.01,401,500,401,23.6272194682,0.0,0.0,
57,0.01,383,500,383,23.8418389968,0.0,0.0,
58,0.05,391,500,391,23.7760204978,0.0,0.0,
59,0.05,383,500,383,23.731492588,0.0,0.0,
60,0.05,378,500,378,23.8914084884,0.0,0.0,
61,0.04,391,500,391,23.7993599492,0.0,0.0,
62,0.04,391,500,391,23.8305957217,0.0,0.0,
63,0.04,382,500,382,23.866937526,0.0,0.0,
64,0.05,381,500,381,23.8293772086,0.0,0.0,
65,0.05,398,500,398,23.6188373887,0.0,0.0,
66,0.05,391,500,391,23.8833819242,0.0,0.0,
67,0.05,393,500,393,23.7704958912,0.0,0.0,
68,0.03,368,500,368,23.8038171881,0.0,0.0,
69,0.03,384,500,384,23.9149751403,0.0,0.0,
70,0.03,373,500,373,23.9796467918,0.0,0.0,
71,0.04,372,500,372,23.920567117,0.0,0.0,
72,0.04,363,500,363,24.0113579116,0.0,0.0,
73,0.05,367,500,367,23.8817500626,0.0,0.0,
74,0.05,362,500,362,24.0130075343,0.0,0.0,
75,0.05,370,500,370,23.9227500613,0.0,0.0,
76,0.04,375,500,375,23.8914084884,0.0,0.0,
77,0.04,371,500,371,23.8692465286,0.0,0.0,
78,0.04,372,500,372,23.9790984192,0.0,0.0,
