n,rtk,p,m,n,hz,t,v,
1,0.08,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.08,348,500,348,24.6877700213,82.8750095967,3.05624036829,
3,0.05,434,500,434,23.7478852665,0.0,0.0,
4,0.17,438,500,438,23.5538458947,0.0,0.0,
5,0.08,448,500,448,23.4549277502,0.0,0.0,
6,0.08,439,500,439,23.8345228895,0.0,0.0,
7,0.07,437,500,437,23.8503801341,0.0,0.0,
8,0.11,447,500,447,23.7665897926,0.0,0.0,
9,0.2,433,500,433,23.578739073,0.0,0.0,
10,0.14,433,500,433,23.8948112025,0.0,0.0,
11,0.14,439,500,439,23.9114303631,0.0,0.0,
12,0.09,438,500,438,23.9888357622,0.0,0.0,
13,0.26,442,500,442,23.4747499622,0.0,0.0,
14,0.06,435,500,435,23.9119756451,0.0,0.0,
15,0.07,445,500,445,23.9526692099,0.0,0.0,
16,0.07,435,500,435,23.9348999646,0.0,0.0,
17,0.12,435,500,435,23.605544706,0.0,0.0,
18,0.09,441,500,441,23.7936895132,0.0,0.0,
19,0.13,440,500,440,24.0227724417,0.0,0.0,
20,0.13,440,500,440,23.9435079207,0.0,0.0,
21,0.13,431,500,431,23.8169284408,0.0,0.0,
22,0.03,424,500,424,23.6390709628,0.0,0.0,
23,0.12,427,500,427,23.9785500717,0.0,0.0,
24,0.1,423,500,423,24.0200209602,0.0,0.0,
25,0.18,418,500,418,23.7828961544,0.0,0.0,
26,0.18,420,500,420,23.6401368481,0.0,0.0,
27,0.18,429,500,429,24.0077845065,0.0,0.0,
28,0.44,434,500,434,23.9480193215,0.0,0.0,
29,0.16,436,500,436,24.0125951074,0.0,0.0,
30,0.06,440,500,440,23.6083349281,0.0,0.0,
31,0.06,439,500,439,23.820309971,0.0,0.0,
32,0.09,438,500,438,24.0095710761,0.0,0.0,
33,0.12,438,500,438,23.9893845802,0.0,0.0,
34,0.24,434,500,434,23.8089518349,0.0,0.0,
35,0.25,439,500,439,23.7878868654,0.0,0.0,
36,0.25,444,500,444,23.8867823522,0.0,0.0,
37,0.06,439,500,439,23.9377685955,0.0,0.0,
38,0.03,432,500,432,23.9974825639,0.0,0.0,
39,0.17,434,500,434,23.5748957361,0.0,0.0,
40,0.09,447,500,447,23.8566203864,0.0,0.0,
41,0.09,422,500,422,24.0794552949,0.0,0.0,
42,0.1,397,500,397,24.1557280748,90.0,0.363918273926,
43,0.27,383,500,383,24.0039374134,90.0,0.524038993835,
44,0.26,388,500,388,24.2400480836,90.0,0.505440856934,
45,0.51,373,500,373,24.4960052329,90.0,0.606526885986,
46,0.51,381,500,381,24.3208683904,90.0,0.631799732208,
47,0.76,377,500,377,24.3279217201,90.0,0.628847328186,
48,0.68,360,500,360,24.1416854211,90.0,0.5265,
49,0.38,337,500,337,24.7868333186,90.0,0.631799732208,
50,0.44,344,500,344,24.6305046127,90.0,0.786059829712,
51,0.44,342,500,342,24.5634304321,90.0,0.873400777817,
52,0.66,341,500,341,24.1690906996,90.0,0.873401112556,
53,1.08,332,500,332,24.7678053677,90.0,1.09175214386,
54,0.91,336,500,336,24.8053037158,99.462322208,1.10680849715,
55,1.06,309,500,309,24.99674601,98.7461622626,1.17728703567,
56,1.06,330,500,330,24.6628015006,98.1301023542,1.28103181402,
57,1.28,318,500,318,24.522930845,94.0856611589,1.52157580202,
58,1.4,324,500,324,24.7158472843,97.1250163489,1.48916744925,
59,1.39,314,500,314,24.9494622633,101.30983907,1.33604672919,
60,1.25,311,500,311,24.9494622633,96.7098368078,1.50203805295,
61,1.25,297,500,297,24.6767311879,94.0856229437,1.75719238062,
62,1.5,316,500,316,25.1984307694,96.0090059575,1.67483089383,
63,1.74,318,500,318,25.0645631648,96.0090059575,1.64753295507,
64,1.92,298,500,298,25.2296550272,90.0,1.97121572685,
65,1.61,340,500,340,24.9562909809,90.0,2.10782733223,
66,1.61,316,500,316,25.2041847692,93.9004843779,1.97704110703,
67,1.86,327,500,327,25.3832569793,94.3987738057,2.02570499486,
68,2.32,314,500,314,25.6457064593,93.1798357241,2.31899146055,
69,2.05,296,500,296,25.7029120502,92.4895144324,2.52939299935,
70,2.36,301,500,301,25.3260874816,95.2734301436,2.43084642814,
71,2.36,300,500,300,25.821112185,94.969729793,2.38383013761,
72,2.62,278,500,278,26.1350148923,94.08561678,2.55079454533,
73,2.87,292,500,292,26.1232950087,93.945186229,2.66757860377,
74,2.7,292,500,292,26.2949282177,94.3986981214,2.57603378988,
75,2.88,285,500,285,26.0953400112,95.6190410971,2.68635073719,
76,2.88,287,500,287,26.3448067936,94.398688821,2.84693665965,
77,2.74,286,500,286,26.5252426877,93.576334375,2.84723151508,
78,2.26,279,500,279,26.6516536934,90.0,2.88100940323,
79,2.43,286,500,286,26.2661114068,93.8796336829,2.8008341305,
80,2.57,292,500,292,25.8564497734,95.1944388607,2.79138303499,
81,2.57,300,500,300,25.7717698528,92.57769859,2.88161595154,
82,2.65,304,500,304,25.707007931,90.0,2.9484032135,
83,3.17,316,500,316,25.5245977459,90.0,2.89707924037,
84,2.99,321,500,321,25.0094151179,92.4895575041,2.90106330722,
85,3.25,326,500,326,25.4044736252,93.1798404981,3.16601218166,
86,3.25,321,500,321,25.6508821821,93.0127875042,3.29506570476,
87,3.37,304,500,304,25.6488430116,92.1210997234,3.41405963418,
88,3.45,273,500,273,25.8845339702,90.0,3.42281240757,
89,3.56,278,500,278,25.2729814413,90.0,3.63916934967,
90,3.38,293,500,293,25.4143252725,90.0,3.79290649303,
91,3.38,287,500,287,25.6996047915,93.0127784476,3.95264807597,
92,3.39,285,500,285,25.8325624365,92.2196508478,3.94243011475,
93,4.24,280,500,280,25.6977153115,91.8240734694,3.91919882624,
