n,rtk,p,m,n,hz,t,v,
1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,120,250,120,39.9472741819,81.8699049314,2.35458065815,
3,0.04,198,250,198,38.5194328117,0.0,0.0,
4,0.04,196,250,196,38.4897404838,0.0,0.0,
5,0.03,196,250,196,38.7418046793,0.0,0.0,
6,0.03,205,250,205,38.6789254788,0.0,0.0,
7,0.01,190,250,190,38.6785687938,0.0,0.0,
8,0.01,192,250,192,38.2555842355,0.0,0.0,
9,0.01,199,250,199,38.7282111892,0.0,0.0,
10,0.02,199,250,199,38.9287842366,0.0,0.0,
11,0.02,201,250,201,38.7761886712,0.0,0.0,
12,0.01,191,250,191,39.1405748414,0.0,0.0,
13,0.01,194,250,194,38.8591758079,0.0,0.0,
14,0.01,192,250,192,39.0869561166,0.0,0.0,
15,0.03,204,250,204,38.6892722074,0.0,0.0,
16,0.03,201,250,201,38.570085981,0.0,0.0,
17,0.01,207,250,207,38.5906686172,0.0,0.0,
18,0.01,200,250,200,38.8696192091,0.0,0.0,
19,0.01,210,250,210,38.6472062509,0.0,0.0,
20,0.02,201,250,201,38.6967681222,0.0,0.0,
21,0.02,200,250,200,38.7536172965,0.0,0.0,
22,0.04,203,250,203,38.6967681222,0.0,0.0,
23,0.04,211,250,211,38.2426784347,0.0,0.0,
24,0.04,196,250,196,38.4555098149,0.0,0.0,
25,0.04,209,250,209,38.2071453297,0.0,0.0,
26,0.04,197,250,197,38.8063247689,0.0,0.0,
27,0.05,206,250,206,38.5180178526,0.0,0.0,
28,0.05,200,250,200,38.8153028929,0.0,0.0,
29,0.05,197,250,197,38.9678450318,0.0,0.0,
30,0.06,191,250,191,39.0698436947,90.0,0.126360214233,
31,0.06,179,250,179,39.2431137725,90.0,0.181957463264,
32,0.08,187,250,187,39.1051772845,90.0,0.181956459045,
33,0.08,190,250,190,39.0091610011,90.0,0.181959136963,
34,0.08,193,250,193,38.7503949593,90.0,0.210599464417,
35,0.11,187,250,187,38.8757438131,90.0,0.210599464417,
36,0.11,186,250,186,38.7085532873,90.0,0.181957798004,
37,0.15,184,250,184,39.1526319229,90.0,0.181957798004,
38,0.15,188,250,188,38.8696192091,90.0,0.1755,
39,0.15,179,250,179,38.9968295291,90.0,0.151631721497,
40,0.19,186,250,186,39.2067975958,0.0,0.0,
41,0.19,193,250,193,38.8905228607,0.0,0.0,
42,0.16,205,250,205,39.0320311191,0.0,0.0,
43,0.16,200,250,200,38.9074785254,0.0,0.0,
44,0.16,200,250,200,38.9334818528,0.0,0.0,
45,0.13,193,250,193,38.7160566761,0.0,0.0,
46,0.13,203,250,203,38.6055870035,0.0,0.0,
47,0.13,196,250,196,38.4925663522,0.0,0.0,
48,0.13,201,250,201,38.4055086026,0.0,0.0,
49,0.13,185,250,185,38.9881296536,0.0,0.0,
50,0.09,195,250,195,39.0367536879,0.0,0.0,
51,0.09,207,250,207,38.9421573543,0.0,0.0,
52,0.08,191,250,191,39.1161181419,0.0,0.0,
53,0.08,189,250,189,39.2357717493,0.0,0.0,
54,0.08,188,250,188,39.1405748414,0.0,0.0,
55,0.07,199,250,199,38.913615067,0.0,0.0,
56,0.07,197,250,197,38.9407111689,0.0,0.0,
57,0.07,189,250,189,39.1877493436,0.0,0.0,
58,0.07,190,250,190,39.129985353,0.0,0.0,
