n,rtk,p,m,n,hz,t,v,
1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.02,585,1000,585,15.0219869561,77.7352262721,2.04455807273,
3,0.02,764,1000,764,14.5874627862,0.0,0.0,
4,0.02,757,1000,757,14.587006194,0.0,0.0,
5,0.02,785,1000,785,14.583658724,0.0,0.0,
6,0.02,757,1000,757,14.6221966567,0.0,0.0,
7,0.02,769,1000,769,14.6081408187,0.0,0.0,
8,0.03,750,1000,750,14.6599651877,0.0,0.0,
9,0.03,762,1000,762,14.6143505727,0.0,0.0,
10,0.03,767,1000,767,14.5264324504,0.0,0.0,
11,0.03,769,1000,769,14.568968332,0.0,0.0,
12,0.03,750,1000,750,14.6604263589,0.0,0.0,
13,0.03,749,1000,749,14.5456764949,0.0,0.0,
14,0.03,743,1000,743,14.6171008381,0.0,0.0,
15,0.03,764,1000,764,14.5581467996,0.0,0.0,
16,0.03,761,1000,761,14.6025972217,0.0,0.0,
17,0.03,764,1000,764,14.615623715,0.0,0.0,
18,0.01,764,1000,764,14.6571475498,0.0,0.0,
19,0.01,769,1000,769,14.6028005821,0.0,0.0,
20,0.03,743,1000,743,14.6694506525,0.0,0.0,
21,0.03,763,1000,763,14.6793593907,0.0,0.0,
22,0.01,758,1000,758,14.663399047,0.0,0.0,
23,0.01,757,1000,757,14.6288775574,0.0,0.0,
24,0.01,743,1000,743,14.57560067,0.0,0.0,
25,0.01,751,1000,751,14.6252048566,0.0,0.0,
26,0.01,744,1000,744,14.6931408954,0.0,0.0,
27,0.0,755,1000,755,14.6776128387,0.0,0.0,
28,0.0,736,1000,736,14.776272309,0.0,0.0,
29,0.0,765,1000,765,14.6944278032,0.0,0.0,
30,0.01,760,1000,760,14.6970022951,0.0,0.0,
31,0.01,757,1000,757,14.7108685588,0.0,0.0,
32,0.03,741,1000,741,12.5947888859,0.0,0.0,
33,0.03,750,1000,750,14.7418396792,0.0,0.0,
34,0.03,752,1000,752,14.6292857492,0.0,0.0,
35,0.03,760,1000,760,14.6606313332,0.0,0.0,
36,0.03,737,1000,737,14.8361177041,0.0,0.0,
37,0.03,759,1000,759,14.754233532,0.0,0.0,
38,0.03,749,1000,749,14.7874206741,0.0,0.0,
39,0.03,757,1000,757,14.557944681,0.0,0.0,
40,0.04,745,1000,745,14.5437598824,0.0,0.0,
41,0.04,749,1000,749,14.6009197147,0.0,0.0,
42,0.04,749,1000,749,14.5401801964,0.0,0.0,
43,0.02,757,1000,757,14.4543947618,0.0,0.0,
44,0.02,719,1000,719,14.61155044,0.0,0.0,
45,0.02,773,1000,773,14.35009785,0.0,0.0,
46,0.02,737,1000,737,14.5372068681,0.0,0.0,
47,0.02,747,1000,747,14.7087018425,0.0,0.0,
48,0.05,723,1000,723,14.735365828,0.0,0.0,
49,0.05,762,1000,762,14.621381087,0.0,0.0,
50,0.03,717,1000,717,14.8224858553,0.0,0.0,
51,0.03,776,1000,776,14.6311739323,0.0,0.0,
52,0.03,782,1000,782,14.6500826059,0.0,0.0,
53,0.05,759,1000,759,14.6505431555,0.0,0.0,
54,0.05,780,1000,780,14.5923856508,0.0,0.0,
55,0.05,757,1000,757,14.5346376827,0.0,0.0,
56,0.05,773,1000,773,14.5851293928,0.0,0.0,
57,0.04,779,1000,779,14.6040717128,0.0,0.0,
58,0.04,773,1000,773,14.6162349022,0.0,0.0,
59,0.04,765,1000,765,14.6788970277,0.0,0.0,
60,0.03,780,1000,780,14.6526927699,0.0,0.0,
61,0.03,772,1000,772,14.6295408806,0.0,0.0,
62,0.03,794,1000,794,14.5772723639,0.0,0.0,
63,0.03,790,1000,790,14.61155044,0.0,0.0,
64,0.03,783,1000,783,14.6252558537,0.0,0.0,
65,0.02,775,1000,775,14.622706434,0.0,0.0,
66,0.02,751,1000,751,14.5808703391,0.0,0.0,
67,0.02,766,1000,766,14.5804648446,0.0,0.0,
68,0.02,784,1000,784,14.6102780071,0.0,0.0,
69,0.02,775,1000,775,14.6498779265,0.0,0.0,
70,0.02,772,1000,772,14.5660338044,0.0,0.0,
71,0.02,745,1000,745,14.7019478494,0.0,0.0,
72,0.06,756,1000,756,14.6936041562,0.0,0.0,
73,0.06,755,1000,755,14.6976718108,0.0,0.0,
74,0.06,787,1000,787,14.5289484076,0.0,0.0,
75,0.06,775,1000,775,12.3940392361,0.0,0.0,
76,0.06,757,1000,757,14.6655524359,0.0,0.0,
77,0.03,758,1000,758,14.5462818459,0.0,0.0,
78,0.03,763,1000,763,14.4358384845,0.0,0.0,
79,0.03,764,1000,764,14.4581815173,0.0,0.0,
80,0.04,754,1000,754,14.5647187102,0.0,0.0,
81,0.04,755,1000,755,14.6421554595,0.0,0.0,
82,0.04,739,1000,739,14.6516178839,0.0,0.0,
83,0.03,752,1000,752,14.6799759201,0.0,0.0,
84,0.03,730,1000,730,14.759477368,0.0,0.0,
85,0.01,749,1000,749,14.5441633378,0.0,0.0,
86,0.01,744,1000,744,14.5333786097,0.0,0.0,
87,0.01,765,1000,765,14.4807937966,0.0,0.0,
88,0.01,760,1000,760,14.5397265593,0.0,0.0,
89,0.01,746,1000,746,14.5011703124,0.0,0.0,
90,0.02,764,1000,764,14.5416925248,0.0,0.0,
91,0.02,769,1000,769,14.5522371489,0.0,0.0,
92,0.04,769,1000,769,14.5556207206,0.0,0.0,
93,0.04,751,1000,751,14.5306597564,0.0,0.0,
94,0.04,742,1000,742,14.6166933261,0.0,0.0,
95,0.03,761,1000,761,14.6670396688,0.0,0.0,
96,0.03,772,1000,772,14.6453764259,0.0,0.0,
97,0.03,767,1000,767,14.6351049576,0.0,0.0,
98,0.03,750,1000,750,14.7255881558,0.0,0.0,
99,0.03,743,1000,743,14.6849614346,0.0,0.0,
100,0.03,763,1000,763,14.528747099,0.0,0.0,
101,0.03,756,1000,756,14.6117540498,0.0,0.0,
102,0.03,767,1000,767,14.6264798909,0.0,0.0,
103,0.03,755,1000,755,14.6522320852,0.0,0.0,
104,0.03,762,1000,762,14.6402644411,0.0,0.0,
105,0.03,753,1000,753,14.7061232504,0.0,0.0,
106,0.03,769,1000,769,14.6337773622,0.0,0.0,
107,0.03,786,1000,786,14.5562268997,0.0,0.0,
108,0.02,776,1000,776,14.6188330179,0.0,0.0,
109,0.02,766,1000,766,14.636177422,0.0,0.0,
110,0.02,761,1000,761,14.5768670696,0.0,0.0,
111,0.02,771,1000,771,14.5742838478,0.0,0.0,
112,0.02,769,1000,769,14.6470641644,0.0,0.0,
113,0.03,787,1000,787,14.5302067131,0.0,0.0,
114,0.03,789,1000,789,14.2571748094,0.0,0.0,
115,0.03,796,1000,796,14.3868174989,0.0,0.0,
116,0.03,788,1000,788,14.5424992285,0.0,0.0,
117,0.03,797,1000,797,14.5342347556,0.0,0.0,
118,0.04,781,1000,781,14.32500444,0.0,0.0,
119,0.04,785,1000,785,11.943731277,0.0,0.0,
120,0.03,774,1000,774,14.4487681199,0.0,0.0,
121,0.03,766,1000,766,14.5344865824,0.0,0.0,
122,0.05,763,1000,763,14.3521110856,0.0,0.0,
123,0.05,758,1000,758,14.5569341723,0.0,0.0,
124,0.05,783,1000,783,14.4659106586,0.0,0.0,
125,0.04,770,1000,770,14.4368819421,0.0,0.0,
126,0.04,764,1000,764,14.5150209542,0.0,0.0,
127,0.05,762,1000,762,14.5661855613,0.0,0.0,
128,0.05,780,1000,780,14.4246184322,0.0,0.0,
129,0.05,741,1000,741,14.5635049878,0.0,0.0,
130,0.04,762,1000,762,14.6222476329,0.0,0.0,
131,0.04,783,1000,783,14.4613220428,0.0,0.0,
132,0.01,775,1000,775,14.3833146439,0.0,0.0,
133,0.01,777,1000,777,14.5932487631,0.0,0.0,
134,0.01,776,1000,776,14.5991917772,0.0,0.0,
135,0.01,748,1000,748,14.7162365093,0.0,0.0,
136,0.01,759,1000,759,14.6769451492,0.0,0.0,
137,0.01,767,1000,767,14.5690189377,0.0,0.0,
138,0.05,768,1000,768,14.6226554547,0.0,0.0,
139,0.05,766,1000,766,14.5819348693,0.0,0.0,
140,0.04,762,1000,762,14.6295408806,0.0,0.0,
141,0.04,784,1000,784,14.6040717128,0.0,0.0,
142,0.04,762,1000,762,14.6468595694,0.0,0.0,
143,0.04,765,1000,765,14.6522320852,0.0,0.0,
144,0.04,779,1000,779,14.5285457959,0.0,0.0,
145,0.05,771,1000,771,14.6612462904,0.0,0.0,
146,0.05,752,1000,752,14.5074399718,0.0,0.0,
147,0.02,753,1000,753,14.2035353877,0.0,0.0,
148,0.02,752,1000,752,14.2017078737,0.0,0.0,
149,0.02,763,1000,763,14.1340854791,0.0,0.0,
150,0.01,764,1000,764,14.1981023178,0.0,0.0,
151,0.01,728,1000,728,14.2279633506,0.0,0.0,
152,0.01,740,1000,740,14.6327052495,0.0,0.0,
153,0.05,748,1000,748,14.643177835,0.0,0.0,
154,0.05,733,1000,733,14.6196483034,0.0,0.0,
155,0.04,738,1000,738,14.7242957845,0.0,0.0,
156,0.04,752,1000,752,14.6905677559,0.0,0.0,
157,0.04,747,1000,747,14.6780751208,0.0,0.0,
158,0.02,740,1000,740,14.4583808752,0.0,0.0,
159,0.02,742,1000,742,14.3241727656,0.0,0.0,
160,0.02,758,1000,758,14.3069738884,0.0,0.0,
161,0.02,744,1000,744,14.2277702962,0.0,0.0,
162,0.02,737,1000,737,14.3613989194,0.0,0.0,
163,0.04,739,1000,739,14.2843169976,0.0,0.0,
164,0.04,769,1000,769,12.1574733767,0.0,0.0,
165,0.03,776,1000,776,14.2842683504,0.0,0.0,
166,0.03,782,1000,782,14.2710486113,0.0,0.0,
167,0.03,776,1000,776,14.273234011,0.0,0.0,
168,0.03,769,1000,769,14.3272553373,0.0,0.0,
169,0.03,770,1000,770,14.3165943038,0.0,0.0,
170,0.04,774,1000,774,14.2990236186,0.0,0.0,
171,0.04,769,1000,769,14.2657578602,0.0,0.0,
172,0.04,755,1000,755,14.3439143668,0.0,0.0,
173,0.02,766,1000,766,14.3069738884,0.0,0.0,
174,0.02,779,1000,779,14.1908486825,0.0,0.0,
175,0.03,786,1000,786,14.2581925974,0.0,0.0,
176,0.03,774,1000,774,14.2771694176,0.0,0.0,
177,0.03,794,1000,794,14.1950270241,0.0,0.0,
178,0.01,772,1000,772,14.2828577266,0.0,0.0,
179,0.01,769,1000,769,14.2433763252,0.0,0.0,
180,0.01,774,1000,774,14.2789677946,0.0,0.0,
181,0.01,769,1000,769,14.2813987538,0.0,0.0,
182,0.01,772,1000,772,14.2639143003,0.0,0.0,
183,0.02,786,1000,786,14.2350617351,0.0,0.0,
184,0.02,772,1000,772,14.3156170219,0.0,0.0,
185,0.03,770,1000,770,14.261052875,0.0,0.0,
186,0.03,794,1000,794,14.2136432953,0.0,0.0,
187,0.03,775,1000,775,14.2959044555,0.0,0.0,
188,0.07,792,1000,792,14.1332758249,0.0,0.0,
189,0.07,786,1000,786,14.2539769927,0.0,0.0,
190,0.05,777,1000,777,14.2869444369,0.0,0.0,
191,0.05,780,1000,780,14.1972853129,0.0,0.0,
192,0.05,785,1000,785,14.2464242165,0.0,0.0,
193,0.05,784,1000,784,14.2407648848,0.0,0.0,
194,0.05,784,1000,784,14.263089704,0.0,0.0,
195,0.04,785,1000,785,14.2628956953,0.0,0.0,
196,0.04,781,1000,781,14.2647389919,0.0,0.0,
197,0.04,773,1000,773,14.2541223169,0.0,0.0,
198,0.05,776,1000,776,14.2889886691,0.0,0.0,
199,0.05,778,1000,778,14.2043050081,0.0,0.0,
200,0.04,715,1000,715,14.3909639257,-90.0,0.151631721497,
201,0.04,724,1000,724,14.4019833053,-90.0,0.151631721497,
