n,rtk,p,m,n,hz,t,v,
1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,482,1000,482,15.5675547275,81.5730309785,2.33803897036,
3,0.04,801,1000,801,14.6179159304,0.0,0.0,
4,0.04,791,1000,791,14.6175083729,0.0,0.0,
5,0.03,804,1000,804,14.4709515151,0.0,0.0,
6,0.03,804,1000,804,14.6090057958,0.0,0.0,
7,0.01,803,1000,803,14.6183744598,0.0,0.0,
8,0.01,798,1000,798,14.5022232365,0.0,0.0,
9,0.01,820,1000,820,14.5494607654,0.0,0.0,
10,0.02,804,1000,804,14.6241339995,0.0,0.0,
11,0.02,798,1000,798,14.6359731309,0.0,0.0,
12,0.01,799,1000,799,14.481643758,0.0,0.0,
13,0.01,798,1000,798,14.6179159304,0.0,0.0,
14,0.01,785,1000,785,14.5851293928,0.0,0.0,
15,0.03,798,1000,798,14.6079373095,0.0,0.0,
16,0.03,792,1000,792,14.4942548993,0.0,0.0,
17,0.01,815,1000,815,12.4020284156,0.0,0.0,
18,0.01,830,1000,830,14.5091462571,0.0,0.0,
19,0.01,836,1000,836,14.5475936126,0.0,0.0,
20,0.02,826,1000,826,14.3787289768,0.0,0.0,
21,0.02,823,1000,823,14.615623715,0.0,0.0,
22,0.04,819,1000,819,14.5615331204,0.0,0.0,
23,0.04,810,1000,810,14.6055973619,0.0,0.0,
24,0.04,792,1000,792,14.5247723959,0.0,0.0,
25,0.04,812,1000,812,14.6440469665,0.0,0.0,
26,0.04,807,1000,807,14.645171878,0.0,0.0,
27,0.05,797,1000,797,14.6068689795,0.0,0.0,
28,0.05,797,1000,797,14.438174051,0.0,0.0,
29,0.05,797,1000,797,14.6436379506,0.0,0.0,
30,0.06,767,1000,767,14.726053465,0.0,0.0,
31,0.06,753,1000,753,14.7555830742,90.0,0.1755,
32,0.08,752,1000,752,14.5764111404,90.0,0.1755,
33,0.08,777,1000,777,14.6564817209,90.0,0.181959136963,
34,0.08,789,1000,789,14.6892300796,90.0,0.210599464417,
35,0.11,735,1000,735,14.814999011,90.0,0.210599464417,
