n,rtk,p,m,n,hz,t,v,
1,0.05,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,557,1000,557,13.5383979755,77.4711327685,1.8005607748,
3,0.04,832,1000,832,12.964268935,0.0,0.0,
4,0.03,848,1000,848,12.8513378946,0.0,0.0,
5,0.03,851,1000,851,12.904875745,0.0,0.0,
6,0.03,835,1000,835,12.8944020708,0.0,0.0,
7,0.03,854,1000,854,12.8487002126,0.0,0.0,
8,0.03,837,1000,837,12.8270884558,0.0,0.0,
9,0.02,853,1000,853,12.8499992341,0.0,0.0,
10,0.02,842,1000,842,12.7815111198,0.0,0.0,
11,0.02,861,1000,861,12.7958997514,0.0,0.0,
12,0.02,823,1000,823,12.8905976759,0.0,0.0,
13,0.02,869,1000,869,12.817406451,0.0,0.0,
14,0.03,853,1000,853,12.827912297,0.0,0.0,
15,0.03,845,1000,845,12.8652133771,0.0,0.0,
16,0.03,818,1000,818,12.8939263987,0.0,0.0,
17,0.02,860,1000,860,12.7844719853,0.0,0.0,
18,0.02,860,1000,860,12.8274022876,0.0,0.0,
19,0.02,851,1000,851,12.8713723252,0.0,0.0,
20,0.02,838,1000,838,12.8647003975,0.0,0.0,
21,0.02,835,1000,835,12.9189069315,0.0,0.0,
22,0.02,864,1000,864,12.7880580269,0.0,0.0,
23,0.02,852,1000,852,12.8100078186,0.0,0.0,
24,0.04,813,1000,813,12.8480311222,0.0,0.0,
25,0.04,861,1000,861,12.8384746769,0.0,0.0,
26,0.04,840,1000,840,12.8640296397,0.0,0.0,
27,0.04,814,1000,814,11.1934669478,0.0,0.0,
28,0.04,821,1000,821,13.002207177,0.0,0.0,
29,0.04,843,1000,843,12.8655685408,0.0,0.0,
30,0.04,847,1000,847,12.8721623604,0.0,0.0,
31,0.04,866,1000,866,12.9391128373,0.0,0.0,
32,0.05,820,1000,820,13.0994631296,0.0,0.0,
33,0.05,880,1000,880,12.848188549,0.0,0.0,
34,0.01,859,1000,859,12.9523785996,0.0,0.0,
35,0.01,839,1000,839,12.9607836472,0.0,0.0,
36,0.01,862,1000,862,13.0701950104,0.0,0.0,
37,0.01,854,1000,854,13.0560366564,0.0,0.0,
38,0.01,858,1000,858,13.0587601615,0.0,0.0,
39,0.0,844,1000,844,13.1754239924,0.0,0.0,
40,0.0,853,1000,853,13.2063715967,0.0,0.0,
41,0.0,848,1000,848,13.0975814636,0.0,0.0,
42,0.01,874,1000,874,13.1528651035,0.0,0.0,
43,0.01,858,1000,858,13.247875882,0.0,0.0,
44,0.02,862,1000,862,13.0970497864,0.0,0.0,
45,0.02,847,1000,847,13.0918988432,0.0,0.0,
46,0.02,862,1000,862,13.031333207,0.0,0.0,
47,0.01,868,1000,868,13.0496997604,0.0,0.0,
48,0.01,860,1000,860,13.1587659139,0.0,0.0,
49,0.01,868,1000,868,13.1515041295,0.0,0.0,
50,0.01,869,1000,869,13.0778565593,0.0,0.0,
51,0.01,847,1000,847,13.1292324933,0.0,0.0,
52,0.01,852,1000,852,13.1298900913,0.0,0.0,
53,0.01,857,1000,857,13.10515232,0.0,0.0,
54,0.03,840,1000,840,13.042233375,0.0,0.0,
55,0.03,852,1000,852,13.0900193496,0.0,0.0,
56,0.03,853,1000,853,13.2032536705,0.0,0.0,
57,0.03,834,1000,834,13.2634601398,0.0,0.0,
58,0.03,846,1000,846,13.1593026138,0.0,0.0,
59,0.01,875,1000,875,13.1437148829,0.0,0.0,
60,0.01,857,1000,857,13.230491644,0.0,0.0,
61,0.01,867,1000,867,13.1724447655,0.0,0.0,
62,0.01,843,1000,843,13.2800481264,0.0,0.0,
63,0.01,850,1000,850,11.110003311,0.0,0.0,
64,0.02,829,1000,829,13.1891375168,0.0,0.0,
65,0.02,869,1000,869,13.2289476589,0.0,0.0,
66,0.02,846,1000,846,13.252229082,0.0,0.0,
67,0.01,827,1000,827,13.3001350846,0.0,0.0,
68,0.01,833,1000,833,13.2652219566,0.0,0.0,
69,0.03,834,1000,834,13.1237276946,0.0,0.0,
70,0.03,822,1000,822,13.2337894674,0.0,0.0,
71,0.03,826,1000,826,13.2885050406,0.0,0.0,
72,0.02,834,1000,834,13.1479998871,0.0,0.0,
73,0.02,810,1000,810,13.1466811268,0.0,0.0,
74,0.04,822,1000,822,13.345627985,0.0,0.0,
75,0.04,824,1000,824,13.3422317512,0.0,0.0,
76,0.04,805,1000,805,13.3616560372,0.0,0.0,
77,0.05,792,1000,792,13.4167066516,0.0,0.0,
78,0.05,826,1000,826,13.2782403333,0.0,0.0,
79,0.06,828,1000,828,13.2555796446,0.0,0.0,
80,0.06,797,1000,797,13.3515330549,0.0,0.0,
81,0.06,830,1000,830,13.2821508305,0.0,0.0,
82,0.05,821,1000,821,13.3109405843,0.0,0.0,
83,0.05,815,1000,815,13.3475816024,0.0,0.0,
84,0.06,793,1000,793,13.3509805607,0.0,0.0,
85,0.06,791,1000,791,13.4096719121,0.0,0.0,
86,0.06,832,1000,832,13.3207059399,0.0,0.0,
87,0.05,829,1000,829,13.2620761834,0.0,0.0,
88,0.05,809,1000,809,13.316476755,0.0,0.0,
89,0.06,822,1000,822,13.2515173057,0.0,0.0,
90,0.06,828,1000,828,13.2874525992,0.0,0.0,
91,0.06,853,1000,853,13.293980425,0.0,0.0,
92,0.06,827,1000,827,13.2480432599,0.0,0.0,
